author,title,date,content,url,source,year_hint,date_parsed,date_filled,url_norm
None,2015人民微博影响力榜单发布 五大榜单出炉,2015年12月31日16:18,"人民网12月31日电 又是岁末年初，回想走过的这一年，人民微博平台上有政务微博倾听回应百姓诉求，被广大网友点赞；有企业账号积极释疑答问，勇担社会责任；有个人大V激扬文字、书写心声……坚实足迹，汇聚共识，人民微博推出2015年度十大最具影响力政务微博、十大最具影响力个人微博 、十大知名企业微博、十大最具成长力政务微博、十大最具亲和力政务微博榜单！人民微博期待与更多微博用户共同努力，为社会建言献策，为改革强国助力，为百姓传达心声，传递具有永动力的正能量。
截止2015年12月31日，在人民微博平台上，用户数增长至3500万，中央和国家部委账号达到40余个，副部级以上个人和机构账号达到200余个，有上百家知名企业微博。他们对社会热点事件的权威播报和独家点评，成为人民微博最突出的特点之一。
2015人民微博影响力榜单：http://t.people.com.cn/microblog-v3/2015subject/1223_zwwbbg2015/index.html",http://www.people.com.cn/n1/2015/1231/c347079-28001285.html,2015,2015,,2015-01-01 00:00:00,http://www.people.com.cn/n1/2015/1231/c347079-28001285.html
None,2015人民微博影響力榜單發布 五大榜單出爐,2015年12月31日16:18,"人民網12月31日電 又是歲末年初，回想走過的這一年，人民微博平台上有政務微博傾聽回應百姓訴求，被廣大網友點贊﹔有企業賬號積極釋疑答問，勇擔社會責任﹔有個人大V激揚文字、書寫心聲……堅實足跡，匯聚共識，人民微博推出2015年度十大最具影響力政務微博、十大最具影響力個人微博 、十大知名企業微博、十大最具成長力政務微博、十大最具親和力政務微博榜單！人民微博期待與更多微博用戶共同努力，為社會建言獻策，為改革強國助力，為百姓傳達心聲，傳遞具有永動力的正能量。
截止2015年12月31日，在人民微博平台上，用戶數增長至3500萬，中央和國家部委賬號達到40余個，副部級以上個人和機構賬號達到200余個，有上百家知名企業微博。他們對社會熱點事件的權威播報和獨家點評，成為人民微博最突出的特點之一。
2015人民微博影響力榜單：http://t.people.com.cn/microblog-v3/2015subject/1223_zwwbbg2015/index.html",http://www.people.com.cn/BIG5/n1/2015/1231/c347079-28001285.html,2015,2015,,2015-01-01 00:00:00,http://www.people.com.cn/big5/n1/2015/1231/c347079-28001285.html
None,2015优秀网络视听作品推选  人民网获两项大奖,2015年12月14日16:12,"近日，在“2015优秀网络视听作品推选活动”中，人民网品牌栏目《十分感动》获得全国十佳视频作品栏目奖，并获得网络视频节目内容建设扶持资金；《私信1937》获得网络视频创新节目二等奖。
“优秀网络视听作品推选活动”是国家新闻出版广电总局指导下，由中国网络视听节目服务协会打造的网络视听领域权威的国家级、综合性网络影视作品和网络原创节目的推荐评奖活动。参赛单位包括国家重点新闻网站、门户网站、专业视频网站，以及其他视频制作单位。
《十分感动》创立于2012年7月，截至目前已发布400余期，以传播正能量和主流价值观为宗旨，以专业品质和网络特色为依托，已多次获得国家级奖项和荣誉，成为国内网络视频栏目的一抹亮色。
《私信1937》是人民电视在2014年国家首个公祭日期间推出的反映南京大屠杀主题的系列专题片，构思精巧，制作精良，充分反映人民电视的制作实力和水准。",http://www.people.com.cn/n1/2015/1214/c393876-27927336.html,2015,2015,,2015-01-01 00:00:00,http://www.people.com.cn/n1/2015/1214/c393876-27927336.html
None,“中國大學生保險責任行”社會實踐活動圓滿結束 30團隊獲獎,2015年11月12日09:32,"點擊圖片進入活動專題
人民網北京11月12日電 （姚治國）近日，由共青團中央學校部指導，中國保險行業協會和人民網舉辦的“中國大學生保險責任行”暑期社會實踐專項活動已圓滿結束，中山大學公管系學生會社會實踐隊等30支團隊分別獲評金獎及銀獎（具體名單附后）。
本次活動從全國27個省市100多所高校選拔出100支入圍團隊，在暑期分別以支教、環保、醫療、調研等形式服務鄉村，提高當地居民安全意識，提升社會對安全教育問題的關注，同時開展調研，了解基層保險保障相關情況。各團隊實踐期間在人民網強國社區活動專區實時播報實踐進程，發回稿件數千篇。大學生們積極走入社會、服務基層的實際行動贏得50萬網友為他們“點贊”。
附：中國大學生保險責任行暑期社會實踐專項活動獲獎名單
金獎團隊：
中山大學 公管系學生會社會實踐隊
大連海事大學 走進鄉村的藍精靈們
閩江學院 閩語13保險團隊
南京審計學院 益暖sweet rainbow團隊
吉林農業大學 吉農農業保險宣講調研團
江西財經大學 旅城“安蜂”志願服務隊
中南民族大學 實況小組志願服務隊
廣西師范大學 予萌團隊
西北農林科技大學 保險下鄉志願隊
石河子大學 天山下瑪河畔實踐團
銀獎團隊：
中國地質大學（北京） 紅燭團隊
東華大學 上海市空氣淨化器使用調研及優化設計團隊
中國農業大學 峰雲社人文科考隊
內蒙古醫科大學 暑期“三下鄉”社團實踐團隊
吉林大學 “平安筑夢”隊
蘇州大學 “白羽之戀”大天鵝保護調研實踐團
江蘇大學 保險責任團
南通大學 杏林之星學生黨員科普服務隊
安徽理工大學 扶苗助長愛心幫扶團
西北師范大學 微行實踐團
安徽大學 敬老愛老團隊
中國石油大學（華東） 溫暖隨行隊
鄭州大學 少年“鄭”青春
華中科技大學 同濟醫學院健康護衛隊
武漢工程大學 守望童心團隊
電子科技大學 愛之翼西部公益教育團隊
四川農業大學 尋陌團隊
雲南財經大學 “共青春”減災防災服務隊
陝西科技大學 2015探夢者隊
北京林業大學 岳蹊隊",http://www.people.com.cn/BIG5/n/2015/1112/c347407-27807339.html,2015,2015,,2015-01-01 00:00:00,http://www.people.com.cn/big5/n/2015/1112/c347407-27807339.html
None,中国城市经济学会2015年年会在京召开,2015年11月08日12:46,"人民网北京11月7日电（记者 潘跃）由中国城市经济学会主办，中国社会科学院城市发展与环境研究所协办的中国城市经济学会2015年年会暨“中国城市群发展的战略选择”研讨会今天在北京召开。
开幕式上，中国城市经济学会会长晋保平、中国社会科学院城市发展与环境研究所党委书记李春华分别致辞。
当今世界，城市群在国家经济社会发展中具有核心与支配地位。尽管目前我国城市群已经为数不少，但与世界上著名的城市群相比，还存在不少问题，面临诸多挑战。中国城市经济学会副会长、上海社会科学院院长王战从顶层设计的角度深入剖析新加坡的城市化模式，并总结了可供中国新型城镇化发展借鉴的启示。
中国城市经济学会副会长、中国社会科学院城市发展与环境研究所所长潘家华指出：推进新型城镇化建设需要将公共资源进行优化配置，通过“新三线建设”实现城镇化的均衡发展，也就是由政府掌控的优质公共资源应由东部向中西部转移，由一二线城市向三四线城市转移，由特大城市、大城市向中、小城镇转移。
针对城市水安全问题，武汉大学水安全研究院院长、中国科学院陆地水循环及地表过程重点实验室主任、水资源与水电工程国家重点实验室主任夏军在介绍城市水安全现状的基础上，详细探讨了中国城市水安全问题产生的根本原因、面临的严峻形式与发展态势，提出了保障中国城市水安全的对策与建议。
在经济全球化的背景下，城市群的形成壮大与社会经济发展密切相关。特别是在当今的网络社会和信息化时代，城市群在一个国家现代化发展过程中，其重大的历史地位与作用越来越明显。中国城市科学研究会秘书长李迅就城市群发展战略与京津冀协同发展提出了自己的创新性思考。中国科学院城市地理与城市发展研究所主任、区域与城市规划设计研究中心执行主任方创琳从城市群内涵、城市群建设的重要意义和具体方案、存在问题及相应对策几个方面展开论述，认为全球城市群发展正式进入了中国时代。",http://www.people.com.cn/n/2015/1108/c32306-27790337.html,2015,2015,,2015-01-01 00:00:00,http://www.people.com.cn/n/2015/1108/c32306-27790337.html
None,中国新闻网站传播力榜发布 人民网位居央网首位,2015年07月15日14:59,"近日，中央网信办《网络传播》杂志推出2015年6月“中国新闻网站传播力榜”，人民网排名位居14家中央重点新闻网站首位。新华网、中国网络电视台分列第二、第三名。
本次发布的排行榜是《网络传播》杂志正式推出的“中国新闻网站传播力榜”的第一期，旨在客观反映国家网信办许可和确定的250家互联网新闻信息服务单位每月的网络传播效果。
“中国新闻网站传播力榜”由三级指标构成：一级指标为PC端和移动端；二级指标为微信和微博；三级指标是月度IP量、月度PV量、每百万人访问人数、每百万被访问网页数、访问者浏览页面数、微信文章数、微信阅读数、微信点赞数、微博文章数、微博转发数、微博评论数共11项，同时根据专家意见确定指标权重占比并计算排名。
除微信文章数外，人民网在其他所有指标的排名中，均为第一。",http://www.people.com.cn/n/2015/0730/c393876-27384761.html,2015,2015,,2015-01-01 00:00:00,http://www.people.com.cn/n/2015/0730/c393876-27384761.html
None,人民在线获“王选新闻科学技术奖”,2015年11月10日14:38,"10月28日，中国新闻技术工作者联合会第六届二次会议、2015年学术年会暨《王选新闻科学技术奖》和优秀论文奖颁奖大会召开。人民在线凭借“大数据时代下人民在线网络舆情信息服务系统研发及推广”项目，获得“王选新闻科学技术奖”二等奖。
“王选新闻科学技术奖”以我国著名科学家、方正技术决策者、奠基人王选教授命名，是目前我国媒体行业唯一经国家批准的跨媒体的科学技术奖项，被业界誉为中国传媒科技界最高奖项。该奖项自2005年开设以来，至今已成功举办了七届，它的设立激励了传媒科技创新、鼓励了领先技术在行业内的推广和应用，同时也为传媒业背后的科技工作者提供了一个展示的舞台。
随着移动互联网的发展，人民在线积极顺应行业发展趋势，勇于开拓和创新。2015年，公司确立“舆情+”的发展思路：“以舆情业务为核心，以创新为动力，以人才为保障，以技术为支撑，向互联网及其信息服务领域延伸”，从传统的舆情业务发展到以大数据为基础的咨询业务，全面向“智库”公司转型。
人民在线“大数据时代下人民在线网络舆情信息服务系统研发及推广”项目，包含了大数据应用中的分布式采集、大数据存储、智能语义分析、搜索引擎集群、可视化等多项技术，能从当今繁杂的海量数据中及时抽取出直观、全面的舆情信息并提供服务。
人民在线在延续舆情业务发展的同时，目前已陆续推出了“融媒体传播系统”“媒体聚合发布平台”等技术产品，“舆情风险评估体系”、“舆情声誉管理体系”等咨询产品，并承接了多个基于大数据为基础的项目和课题。此次荣获“王选新闻科学技术奖”，也是公司在大数据应用方面的一个里程碑。",http://www.people.com.cn/n/2015/1110/c393876-27799192.html,2015,2015,,2015-01-01 00:00:00,http://www.people.com.cn/n/2015/1110/c393876-27799192.html
None,人民网“学习路上”获第二十五届中国新闻奖一等奖,2015年12月14日16:21,"近日，由中华全国新闻工作者协会主办的第二十五届中国新闻奖评选揭晓。人民网・中国共产党新闻网“学习路上”栏目荣获网络专题类一等奖。这是人民网第十一次获得中国新闻奖一等奖。
2014年年初，人民网共产党新闻部以学习宣传习近平总书记系列重要讲话精神为工作重心，组织专门力量成立“学习路上”工作室，集中策划、主推原创、形成系列，并充分运用网言网语和图表、音视频等多媒体手段，使领导人报道更加接地气，更加适合网络和移动新媒体传播。
2014年9月底，《学习路上――习近平总书记系列重要讲话大型网络数据库》专题正式推出，为广大网友提供新闻发布、信息检索、动态交互、资料分享、手机阅读等多重功能。截至目前，专题共收录图文和多媒体学习资料8万余篇(幅)，其中包括十八大以来习近平总书记系列重要讲话近200篇，并持续更新，便于网友查阅。“学习路上”还充分结合热点，及时推出了多篇（组）原创。“跟习近平学领导艺术”系列、习近平“治国理政观”系列、解析“习近平执政风格”系列、习近平的“范儿”系列、习近平“反腐大白话”系列等原创稿件受到了网友、媒体的广泛关注，《习近平报道日历》、《习近平的两会时间》、《习近平引用的古典名句》等一系列数据化、可视化作品也得到了网友欢迎。
一年来，“学习路上”已成为互联网上传播习近平总书记系列重要讲话精神的重要平台，成为人民网的知名品牌栏目。",http://www.people.com.cn/n1/2015/1214/c393876-27927386.html,2015,2015,,2015-01-01 00:00:00,http://www.people.com.cn/n1/2015/1214/c393876-27927386.html
None,人民网两作品获“2014年最具影响力经济新闻报道奖”,2015年07月27日17:12,"作为中央主管部门批准的评比表彰保留项目和新闻界仅有的经济新闻奖项，由中国经济报刊协会主办的“第二十七届中国经济新闻大赛”评选结果7月26日在京揭晓。人民网报送的《41位退休高官任市值100强上市公司独立董事》和《降息不是改革的对立面》获得“2014年最具影响力经济新闻报道奖”。据了解，该奖项共入围126个作品，经过两轮评选，最终只有7篇作品获奖，人民网是唯一获得此殊荣的网媒。
评委会给予人民网作品的评语是：“文章观点明确，有力度，记者目光敏锐，材料扎实，影响很大”。央视评论员杨禹作为点评嘉宾评价人民网财经报道：“他们发现了经济现象背后最深刻的东西，是大家好好学习的范本”。
中国记协党组书记翟惠生、中国经济报刊协会会长莫新元、人民日报原副总编辑、中国经济报刊协会名誉会长张虎生、人民日报经社部主任皮树义、中宣部阅评组领导等参会。一起获奖的还有人民日报的《新常态 平常心》系列报道等。",http://www.people.com.cn/n/2015/0730/c393876-27384931.html,2015,2015,,2015-01-01 00:00:00,http://www.people.com.cn/n/2015/0730/c393876-27384931.html
None,人民网两名驻俄记者获国际青年记者大赛奖项,2015年12月14日17:10,"近日，人民网俄罗斯代表处记者屈海齐和华迪成为“上合组织开辟新边界”国际青年记者大赛中国获奖者。该大赛由上海合作组织信息分析网站Infoshos倡议发起，由俄罗斯外交部、上海合作组织实业家委员会及青年委员会支持，共有近100名来自上合成员国、观察员及对话伙伴国的青年记者们参加了本次大赛。
经过4个半月竞赛作品的搜集与评比，莫斯科当地时间6月30日大赛结果出炉。来自中国、俄罗斯、哈萨克斯坦、吉尔吉斯斯坦、塔吉克斯坦、乌兹别克斯坦、伊朗、阿富汗、巴基斯坦、印度、白俄罗斯和土耳其共12个国家的15名优秀新闻工作者在决赛中胜出。
人民网记者凭借视频专访“扎哈罗夫：上合是个开放的组织”和“走近最后一名苏联元帅、前苏联国防部长亚佐夫：愿人民头顶上永远是和平的天空”两部作品成为仅有的中国获奖记者。",http://www.people.com.cn/n1/2015/1214/c393876-27927576.html,2015,2015,,2015-01-01 00:00:00,http://www.people.com.cn/n1/2015/1214/c393876-27927576.html
