file,rows,used_sep,used_encoding,has_author,has_title,has_date,has_content,has_url,source,year_hint,error
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/vi-corpus/cafebize/2022/cafebiz2022_1.csv,1,auto,utf-8,False,True,True,True,False,cafebize,2022,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/vi-corpus/cafebize/2022/cafebiz2022_2.csv,1,auto,utf-8,False,True,True,True,False,cafebize,2022,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/vi-corpus/cafebize/2022/cafebiz2022_3.csv,1,auto,utf-8,False,True,True,True,False,cafebize,2022,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/vi-corpus/cafebize/2022/cafebiz2022_4.csv,1,auto,utf-8,False,True,True,True,False,cafebize,2022,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/vi-corpus/cafebize/2022/cafebiz2022_5.csv,1,auto,utf-8,False,True,True,True,False,cafebize,2022,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/vi-corpus/cafebize/2022/cafebiz2022_6.csv,1,auto,utf-8,False,True,True,True,False,cafebize,2022,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/vi-corpus/cafebize/2022/cafebiz2022_7.csv,1,auto,utf-8,False,True,True,True,False,cafebize,2022,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/vi-corpus/cafebize/2022/cafebiz2022_8.csv,1,auto,utf-8,False,True,True,True,False,cafebize,2022,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/vi-corpus/cafebize/2022/cafebiz2022_9.csv,1,auto,utf-8,False,True,True,True,False,cafebize,2022,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/vi-corpus/cafebize/2022/cafebiz2022_10.csv,1,auto,utf-8,False,True,True,True,False,cafebize,2022,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/vi-corpus/cafebize/2022/cafebiz2022_12.csv,1,auto,utf-8,False,True,True,True,False,cafebize,2022,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/vi-corpus/cafebize/2022/cafebiz2022_13.csv,1,auto,utf-8,False,True,True,True,False,cafebize,2022,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/vi-corpus/cafebize/2022/cafebiz2022_14.csv,1,auto,utf-8,False,True,True,True,False,cafebize,2022,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/vi-corpus/cafebize/2022/cafebiz2022_15.csv,1,auto,utf-8,False,True,True,True,False,cafebize,2022,
