term,frequency,first_year,in_reference,status
习近平,1014,2015.0,False,new
7月,924,2015.0,False,new
��,896,,False,new
2023年,878,2020.0,False,new
我国,681,2015.0,False,new
提出,681,2015.0,False,new
6月,665,2015.0,False,new
防控,626,2018.0,False,new
2020年,577,2015.0,False,new
2024年,568,2020.0,False,new
2025年,561,2019.0,False,new
第二,556,2015.0,False,new
特朗普,540,2017.0,False,new
2019年,539,2018.0,False,new
2022年,525,2018.0,False,new
新华社,523,2015.0,False,new
1月,518,2015.0,False,new
这种,497,2015.0,False,new
12月,494,2015.0,False,new
2017年,486,2017.0,False,new
5月,470,2015.0,False,new
9月,467,2015.0,False,new
w,453,2020.0,False,new
2018年,446,2018.0,False,new
看到,443,2015.0,False,new
2016年,442,2017.0,False,new
很多,433,2015.0,False,new
2021年,428,2019.0,False,new
3月,416,2015.0,False,new
第三,413,2015.0,False,new
4月,404,2015.0,False,new
10月,398,2015.0,False,new
+,386,2015.0,False,new
广发,358,2020.0,False,new
作出,349,2015.0,False,new
2月,346,2015.0,False,new
11月,342,2015.0,False,new
8月,307,2015.0,False,new
30日,281,2019.0,False,new
中共中央,273,2015.0,False,new
AI,253,2020.0,False,new
2015年,245,2015.0,False,new
多样性,240,2018.0,False,new
1日,238,2015.0,False,new
建成,231,2017.0,False,new
最高,230,2015.0,False,new
而是,215,2015.0,False,new
cn,212,2015.0,False,new
市委,212,2015.0,False,new
雄安,207,2017.0,False,new
深圳,195,2017.0,False,new
各类,194,2017.0,False,new
com,190,2019.0,False,new
中方,187,2018.0,False,new
乌克兰,186,2020.0,False,new
做到,183,2015.0,False,new
上海市,181,2015.0,False,new
第四,177,2017.0,False,new
消费者,176,2017.0,False,new
脑机,176,2022.0,False,new
人民网,173,2022.0,False,new
新增,171,2015.0,False,new
丁立人,171,2023.0,False,new
车企,167,2019.0,False,new
制造业,164,2018.0,False,new
做好,157,2015.0,False,new
武汉市,157,2020.0,False,new
每个,154,2015.0,False,new
17日,153,2015.0,False,new
中国式,152,2015.0,False,new
另一方面,148,2017.0,False,new
影响力,148,2018.0,False,new
