term,n_tokens,frequency,found
的,1,19764,True
在,1,5905,True
和,1,5251,True
一,1,4263,True
年,1,4162,True
了,1,3819,True
是,1,3022,True
为,1,2964,True
中国,1,2717,True
月,1,2611,True
发展,1,2270,True
个,1,2243,True
人,1,2190,True
日,1,2124,True
等,1,1889,True
中,1,1815,True
新,1,1815,True
这,1,1758,True
有,1,1655,True
会,1,1611,True
与,1,1604,True
经济,1,1484,True
国家,1,1385,True
要,1,1295,True
对,1,1280,True
上,1,1239,True
将,1,1232,True
也,1,1220,True
社会,1,1203,True
大,1,1195,True
世界,1,1185,True
工作,1,1179,True
疫情,1,1138,True
元,1,1085,True
化,1,1078,True
性,1,1074,True
增长,1,1036,True
于,1,1026,True
建设,1,1022,True
人民,1,1021,True
以,1,1003,True
我们,1,938,True
企业,1,931,True
我,1,901,True
市场,1,896,True
从,1,870,True
三,1,869,True
两,1,860,True
全球,1,852,True
不,1,835,True
多,1,834,True
而,1,826,True
来,1,823,True
国际,1,798,True
到,1,796,True
服务,1,791,True
技术,1,776,True
城市,1,770,True
全国,1,747,True
说,1,743,True
推进,1,737,True
就,1,729,True
并,1,725,True
中央,1,717,True
汽车,1,715,True
着,1,709,True
党,1,704,True
还,1,696,True
阅读,1,688,True
次,1,675,True
者,1,671,True
问题,1,648,True
家,1,642,True
合作,1,641,True
创新,1,633,True
都,1,629,True
全面,1,626,True
加强,1,625,True
向,1,625,True
政策,1,619,True
销量,1,619,True
他,1,613,True
成,1,599,True
之,1,598,True
安全,1,596,True
美国,1,594,True
让,1,584,True
推动,1,583,True
总,1,574,True
实现,1,568,True
下,1,567,True
产业,1,567,True
社,1,562,True
自己,1,560,True
组织,1,559,True
制度,1,552,True
后,1,552,True
好,1,548,True
坚持,1,546,True
但,1,544,True
体系,1,542,True
把,1,542,True
教育,1,536,True
做,1,524,True
所,1,522,True
政府,1,522,True
金融,1,515,True
地区,1,514,True
前,1,509,True
产品,1,508,True
公司,1,507,True
高,1,505,True
文化,1,501,True
科技,1,501,True
区,1,498,True
智能,1,498,True
市,1,497,True
记者,1,497,True
重要,1,487,True
国,1,479,True
地,1,479,True
及,1,478,True
持续,1,478,True
通过,1,478,True
方面,1,476,True
部,1,476,True
时间,1,475,True
改革,1,474,True
共同,1,472,True
完善,1,472,True
生活,1,470,True
数据,1,466,True
第一,1,461,True
环境,1,457,True
被,1,457,True
农村,1,456,True
辆,1,450,True
会议,1,449,True
品牌,1,449,True
机制,1,448,True
李,1,448,True
习,1,446,True
可,1,444,True
时,1,442,True
管理,1,439,True
主义,1,435,True
研究,1,434,True
发布,1,433,True
生产,1,432,True
网,1,431,True
可以,1,430,True
领域,1,430,True
榜,1,428,True
开展,1,427,True
实施,1,423,True
科学,1,423,True
提升,1,419,True
省,1,419,True
北京,1,418,True
项目,1,418,True
位,1,414,True
支持,1,413,True
电子,1,413,True
代表,1,411,True
基础,1,406,True
卫生,1,404,True
车,1,402,True
没有,1,399,True
乡村,1,397,True
书记,1,396,True
今年,1,394,True
最,1,394,True
活动,1,394,True
保护,1,393,True
至,1,393,True
更,1,390,True
率,1,388,True
保障,1,385,True
新闻,1,385,True
生态,1,385,True
大会,1,380,True
战略,1,378,True
表示,1,377,True
能源,1,376,True
书,1,375,True
人员,1,375,True
委员,1,374,True
网络,1,369,True
同时,1,368,True
名,1,365,True
中心,1,364,True
正,1,364,True
力,1,363,True
能力,1,363,True
作,1,362,True
比,1,360,True
能,1,360,True
已,1,358,True
计划,1,358,True
以及,1,355,True
