term,frequency,first_year,in_reference,status
的,19764,2015.0,True,in_reference
在,5905,2015.0,True,in_reference
和,5251,2015.0,True,in_reference
一,4263,2015.0,True,in_reference
年,4162,2015.0,True,in_reference
了,3819,2015.0,True,in_reference
是,3022,2015.0,True,in_reference
为,2964,2015.0,True,in_reference
中国,2717,2015.0,True,in_reference
月,2611,2015.0,True,in_reference
发展,2270,2015.0,True,in_reference
个,2243,2015.0,True,in_reference
人,2190,2015.0,True,in_reference
日,2124,2015.0,True,in_reference
等,1889,2015.0,True,in_reference
中,1815,2015.0,True,in_reference
新,1815,2015.0,True,in_reference
这,1758,2015.0,True,in_reference
有,1655,2015.0,True,in_reference
会,1611,2015.0,True,in_reference
与,1604,2015.0,True,in_reference
经济,1484,2015.0,True,in_reference
国家,1385,2015.0,True,in_reference
要,1295,2015.0,True,in_reference
对,1280,2015.0,True,in_reference
上,1239,2015.0,True,in_reference
将,1232,2015.0,True,in_reference
也,1220,2015.0,True,in_reference
社会,1203,2015.0,True,in_reference
大,1195,2015.0,True,in_reference
世界,1185,2015.0,True,in_reference
工作,1179,2015.0,True,in_reference
疫情,1138,2020.0,True,in_reference
元,1085,2015.0,True,in_reference
化,1078,2015.0,True,in_reference
性,1074,2015.0,True,in_reference
增长,1036,2015.0,True,in_reference
于,1026,2015.0,True,in_reference
建设,1022,2015.0,True,in_reference
人民,1021,2015.0,True,in_reference
以,1003,2015.0,True,in_reference
我们,938,2015.0,True,in_reference
企业,931,2015.0,True,in_reference
我,901,2015.0,True,in_reference
市场,896,2015.0,True,in_reference
从,870,2015.0,True,in_reference
三,869,2015.0,True,in_reference
两,860,2015.0,True,in_reference
全球,852,2017.0,True,in_reference
不,835,2015.0,True,in_reference
多,834,2015.0,True,in_reference
而,826,2015.0,True,in_reference
来,823,2015.0,True,in_reference
国际,798,2015.0,True,in_reference
到,796,2015.0,True,in_reference
服务,791,2015.0,True,in_reference
技术,776,2017.0,True,in_reference
城市,770,2015.0,True,in_reference
全国,747,2015.0,True,in_reference
说,743,2015.0,True,in_reference
推进,737,2015.0,True,in_reference
就,729,2015.0,True,in_reference
并,725,2015.0,True,in_reference
中央,717,2015.0,True,in_reference
汽车,715,2018.0,True,in_reference
着,709,2015.0,True,in_reference
党,704,2015.0,True,in_reference
还,696,2015.0,True,in_reference
阅读,688,2017.0,True,in_reference
次,675,2015.0,True,in_reference
者,671,2015.0,True,in_reference
问题,648,2015.0,True,in_reference
家,642,2015.0,True,in_reference
合作,641,2017.0,True,in_reference
创新,633,2015.0,True,in_reference
都,629,2015.0,True,in_reference
全面,626,2015.0,True,in_reference
加强,625,2015.0,True,in_reference
向,625,2015.0,True,in_reference
政策,619,2015.0,True,in_reference
销量,619,2017.0,True,in_reference
他,613,2015.0,True,in_reference
成,599,2015.0,True,in_reference
之,598,2015.0,True,in_reference
安全,596,2015.0,True,in_reference
美国,594,2015.0,True,in_reference
让,584,2015.0,True,in_reference
推动,583,2015.0,True,in_reference
总,574,2015.0,True,in_reference
实现,568,2015.0,True,in_reference
下,567,2015.0,True,in_reference
产业,567,2015.0,True,in_reference
社,562,2015.0,True,in_reference
自己,560,2015.0,True,in_reference
组织,559,2015.0,True,in_reference
制度,552,2015.0,True,in_reference
后,552,2015.0,True,in_reference
好,548,2015.0,True,in_reference
坚持,546,2015.0,True,in_reference
但,544,2015.0,True,in_reference
体系,542,2015.0,True,in_reference
把,542,2015.0,True,in_reference
教育,536,2015.0,True,in_reference
做,524,2015.0,True,in_reference
所,522,2015.0,True,in_reference
政府,522,2015.0,True,in_reference
金融,515,2017.0,True,in_reference
地区,514,2015.0,True,in_reference
前,509,2015.0,True,in_reference
产品,508,2015.0,True,in_reference
公司,507,2015.0,True,in_reference
高,505,2015.0,True,in_reference
文化,501,2015.0,True,in_reference
科技,501,2017.0,True,in_reference
区,498,2015.0,True,in_reference
智能,498,2017.0,True,in_reference
市,497,2015.0,True,in_reference
记者,497,2015.0,True,in_reference
重要,487,2015.0,True,in_reference
国,479,2015.0,True,in_reference
地,479,2015.0,True,in_reference
及,478,2015.0,True,in_reference
持续,478,2015.0,True,in_reference
通过,478,2015.0,True,in_reference
方面,476,2015.0,True,in_reference
部,476,2015.0,True,in_reference
时间,475,2015.0,True,in_reference
改革,474,2015.0,True,in_reference
共同,472,2015.0,True,in_reference
完善,472,2015.0,True,in_reference
生活,470,2015.0,True,in_reference
数据,466,2015.0,True,in_reference
第一,461,2015.0,True,in_reference
环境,457,2015.0,True,in_reference
被,457,2015.0,True,in_reference
农村,456,2015.0,True,in_reference
辆,450,2018.0,True,in_reference
会议,449,2015.0,True,in_reference
品牌,449,2018.0,True,in_reference
机制,448,2015.0,True,in_reference
李,448,2017.0,True,in_reference
习,446,2015.0,True,in_reference
可,444,2015.0,True,in_reference
时,442,2015.0,True,in_reference
管理,439,2015.0,True,in_reference
主义,435,2015.0,True,in_reference
研究,434,2015.0,True,in_reference
发布,433,2015.0,True,in_reference
生产,432,2015.0,True,in_reference
网,431,2015.0,True,in_reference
可以,430,2015.0,True,in_reference
领域,430,2015.0,True,in_reference
榜,428,2017.0,True,in_reference
开展,427,2015.0,True,in_reference
实施,423,2015.0,True,in_reference
科学,423,2015.0,True,in_reference
提升,419,2015.0,True,in_reference
省,419,2015.0,True,in_reference
北京,418,2015.0,True,in_reference
项目,418,2015.0,True,in_reference
位,414,2015.0,True,in_reference
支持,413,2015.0,True,in_reference
电子,413,2017.0,True,in_reference
代表,411,2015.0,True,in_reference
基础,406,2015.0,True,in_reference
卫生,404,2017.0,True,in_reference
车,402,2015.0,True,in_reference
没有,399,2015.0,True,in_reference
乡村,397,2018.0,True,in_reference
书记,396,2015.0,True,in_reference
今年,394,2015.0,True,in_reference
最,394,2015.0,True,in_reference
活动,394,2015.0,True,in_reference
保护,393,2015.0,True,in_reference
至,393,2015.0,True,in_reference
更,390,2015.0,True,in_reference
率,388,2015.0,True,in_reference
保障,385,2015.0,True,in_reference
新闻,385,2015.0,True,in_reference
生态,385,2015.0,True,in_reference
大会,380,2015.0,True,in_reference
战略,378,2015.0,True,in_reference
表示,377,2015.0,True,in_reference
能源,376,2018.0,True,in_reference
人员,375,2015.0,True,in_reference
书,375,2017.0,True,in_reference
委员,374,2015.0,True,in_reference
网络,369,2015.0,True,in_reference
同时,368,2015.0,True,in_reference
名,365,2015.0,True,in_reference
中心,364,2015.0,True,in_reference
正,364,2015.0,True,in_reference
力,363,2015.0,True,in_reference
能力,363,2015.0,True,in_reference
作,362,2015.0,True,in_reference
比,360,2015.0,True,in_reference
能,360,2015.0,True,in_reference
已,358,2015.0,True,in_reference
计划,358,2015.0,True,in_reference
以及,355,2015.0,True,in_reference
其中,355,2015.0,True,in_reference
健康,352,2015.0,True,in_reference
提高,347,2015.0,True,in_reference
进行,347,2015.0,True,in_reference
步,346,2015.0,True,in_reference
农业,346,2017.0,True,in_reference
局,345,2015.0,True,in_reference
治理,345,2015.0,True,in_reference
进,342,2015.0,True,in_reference
美,341,2015.0,True,in_reference
资源,341,2015.0,True,in_reference
其,340,2015.0,True,in_reference
影响,337,2015.0,True,in_reference
种,337,2015.0,True,in_reference
质量,337,2015.0,True,in_reference
信息,335,2015.0,True,in_reference
用,335,2015.0,True,in_reference
加快,333,2015.0,True,in_reference
基本,331,2015.0,True,in_reference
提供,331,2015.0,True,in_reference
领导,329,2015.0,True,in_reference
宇宙,329,2019.0,True,in_reference
主席,328,2015.0,True,in_reference
上海,327,2015.0,True,in_reference
现代,327,2015.0,True,in_reference
人类,326,2015.0,True,in_reference
院,325,2015.0,True,in_reference
联合,323,2015.0,True,in_reference
投资,323,2017.0,True,in_reference
节,323,2018.0,True,in_reference
公共,322,2015.0,True,in_reference
二,321,2015.0,True,in_reference
开放,320,2015.0,True,in_reference
全,319,2015.0,True,in_reference
已经,318,2015.0,True,in_reference
五,317,2015.0,True,in_reference
四,316,2015.0,True,in_reference
重点,314,2015.0,True,in_reference
不断,313,2015.0,True,in_reference
水平,313,2015.0,True,in_reference
消费,313,2017.0,True,in_reference
风险,312,2015.0,True,in_reference
小,311,2015.0,True,in_reference
政治,309,2015.0,True,in_reference
空间,309,2015.0,True,in_reference
重大,309,2015.0,True,in_reference
平台,308,2015.0,True,in_reference
参与,307,2015.0,True,in_reference
同,306,2015.0,True,in_reference
时代,306,2015.0,True,in_reference
旅游,305,2015.0,True,in_reference
同比,305,2017.0,True,in_reference
积极,304,2015.0,True,in_reference
建立,303,2015.0,True,in_reference
他们,302,2015.0,True,in_reference
就是,301,2015.0,True,in_reference
地方,300,2015.0,True,in_reference
未来,300,2017.0,True,in_reference
双,299,2015.0,True,in_reference
国内,298,2015.0,True,in_reference
由,298,2015.0,True,in_reference
自,298,2015.0,True,in_reference
论坛,296,2017.0,True,in_reference
报告,295,2015.0,True,in_reference
数字,294,2017.0,True,in_reference
各,293,2015.0,True,in_reference
落实,291,2015.0,True,in_reference
目标,290,2015.0,True,in_reference
冠,290,2017.0,True,in_reference
天,289,2015.0,True,in_reference
责任,289,2015.0,True,in_reference
业,288,2015.0,True,in_reference
继续,287,2015.0,True,in_reference
读书,287,2015.0,True,in_reference
内,284,2015.0,True,in_reference
也是,283,2015.0,True,in_reference
增加,283,2015.0,True,in_reference
需要,282,2015.0,True,in_reference
历史,280,2015.0,True,in_reference
主要,279,2015.0,True,in_reference
健全,278,2015.0,True,in_reference
医疗,278,2017.0,True,in_reference
促进,276,2015.0,True,in_reference
人工,273,2017.0,True,in_reference
不同,272,2015.0,True,in_reference
看,272,2015.0,True,in_reference
起,271,2015.0,True,in_reference
号,270,2017.0,True,in_reference
副,269,2015.0,True,in_reference
关系,267,2015.0,True,in_reference
航天,266,2019.0,True,in_reference
方,264,2015.0,True,in_reference
出版,263,2015.0,True,in_reference
显示,261,2015.0,True,in_reference
完成,260,2017.0,True,in_reference
点,259,2015.0,True,in_reference
共,258,2017.0,True,in_reference
方式,257,2015.0,True,in_reference
