term,frequency,first_year,in_reference,status
，,35811,2015.0,False,new
。,16625,2015.0,False,new
、,12539,2015.0,False,new
“,5280,2015.0,False,new
”,5249,2015.0,False,new
）,1666,2015.0,False,new
（,1637,2015.0,False,new
�,1621,,False,new
》,1326,2015.0,False,new
《,1325,2015.0,False,new
：,1133,2015.0,False,new
；,1029,2015.0,False,new
2023,619,2020.0,False,new
2020,618,2015.0,False,new
·,614,2017.0,False,new
防控,569,2018.0,False,new
—,552,2015.0,False,new
1,530,2015.0,False,new
新华,492,2015.0,False,new
近平,492,2015.0,False,new
？,483,2015.0,False,new
3,455,2015.0,False,new
12,395,2015.0,False,new
10,384,2015.0,False,new
5,371,2015.0,False,new
2,338,2015.0,False,new
8,338,2015.0,False,new
4,335,2015.0,False,new
我国,331,2015.0,False,new
9,317,2015.0,False,new
2022,304,2018.0,False,new
7,301,2015.0,False,new
6,300,2015.0,False,new
11,298,2015.0,False,new
更多,296,2015.0,False,new
2019,294,2018.0,False,new
第二,277,2015.0,False,new
2017,277,2017.0,False,new
/,266,2017.0,False,new
提出,253,2015.0,False,new
第三,239,2015.0,False,new
互联,235,2017.0,False,new
很多,220,2015.0,False,new
最大,203,2015.0,False,new
2021,197,2019.0,False,new
带来,195,2015.0,False,new
:,194,2017.0,False,new
-,188,2015.0,False,new
…,180,2015.0,False,new
2018,156,2018.0,False,new
都是,147,2015.0,False,new
不能,142,2015.0,False,new
20,138,2015.0,False,new
更好,134,2015.0,False,new
30,134,2017.0,False,new
特朗普,133,2018.0,False,new
！,126,2015.0,False,new
AI,124,2020.0,False,new
看到,123,2015.0,False,new
车企,120,2019.0,False,new
作出,118,2015.0,False,new
+,117,2015.0,False,new
达沃斯,113,2023.0,False,new
第四,112,2017.0,False,new
上汽,112,2019.0,False,new
建成,106,2017.0,False,new
做好,104,2015.0,False,new
],104,2020.0,False,new
‘,103,2015.0,False,new
24,102,2015.0,False,new
新增,102,2015.0,False,new
15,101,2015.0,False,new
’,101,2015.0,False,new
21,101,2017.0,False,new
社发,100,2018.0,False,new
乔欣,99,2017.0,False,new
各类,99,2017.0,False,new
抗疫,95,2020.0,False,new
14,92,2015.0,False,new
最高,91,2015.0,False,new
26,90,2017.0,False,new
十三,90,2017.0,False,new
2015,89,2015.0,False,new
共产,88,2015.0,False,new
亚马逊,87,2017.0,False,new
25,83,2015.0,False,new
13,83,2017.0,False,new
19,83,2017.0,False,new
31,83,2017.0,False,new
受访,82,2015.0,False,new
2025,82,2019.0,False,new
不会,81,2015.0,False,new
各项,81,2015.0,False,new
造车,80,2019.0,False,new
16,79,2017.0,False,new
[,78,2020.0,False,new
小鹏,77,2019.0,False,new
23,76,2017.0,False,new
18,75,2015.0,False,new
做到,75,2015.0,False,new
每个,75,2015.0,False,new
变得,75,2017.0,False,new
十二,74,2015.0,False,new
更大,74,2015.0,False,new
蔚来,73,2019.0,False,new
2024,73,2020.0,False,new
17,71,2015.0,False,new
雷诺,71,2021.0,False,new
Kindle,70,2017.0,False,new
】,70,2017.0,False,new
