term,n_words,freq,doc_freq,PMI,LRent,in_reference,status
木质 擀 面杖,3,4,2,24.265,2.023,False,new
对齐 排尾 跟进,3,3,3,23.832,2.167,False,new
千伏 输变 电线,3,4,4,23.662,2.109,False,new
急就章 竭泽而渔 唯,3,3,3,23.662,2.084,False,new
战士 卫生员 机要员,3,3,3,23.544,2.003,False,new
化身 溇港 卫士,3,3,3,23.39,2.666,False,new
博主 Gothamchess 复盘,3,3,3,23.343,2.425,False,new
k环 游记 首创,3,3,3,23.299,2.027,False,new
WAIC CityWal k环,3,3,3,23.256,2.121,False,new
治性 心力衰竭 抢救,3,3,3,23.256,2.103,False,new
汪洋 王沪宁 赵乐际,3,6,3,23.236,2.374,False,new
表兄 弟 姐妹,3,4,4,23.196,2.339,False,new
副处级 组织员 2002年,3,3,3,23.167,2.335,False,new
斗 罢 艰险,3,3,3,23.139,2.475,False,new
葡萄酒 酿造 闻名,3,3,3,23.139,2.731,False,new
体操 变脸 舞狮,3,3,3,23.12,2.929,False,new
飞碟eVTOL 起降 无人机,3,3,3,23.12,2.335,False,new
趣味 運動會 文藝,3,4,4,23.076,2.224,False,new
凌厉 decisive 冒险,3,3,3,23.076,2.889,False,new
成人 慢性 淋巴细胞,3,4,2,23.053,2.049,False,new
祈福 驱灾 菜市场,3,4,4,23.042,2.514,False,new
地步步 紧逼 直至,3,3,3,23.033,2.817,False,new
米格 舰载 战斗机,3,3,3,23.033,3.186,False,new
政客 大有人在 姑且,3,3,3,22.973,2.893,False,new
學校 園內 發,3,4,4,22.908,2.342,False,new
普鲁士 容克 贵族,3,3,3,22.879,2.344,False,new
哩 哔 哩,3,3,3,22.867,2.23,False,new
刻舟求剑 守株待兔 上下,3,3,3,22.823,2.649,False,new
租金 薪金 股金,3,3,3,22.81,2.768,False,new
广发科 创债 ETF,3,3,3,22.784,2.037,False,new
事事 时时 处处,3,3,3,22.75,2.5,False,new
拆旧 复垦区 划定,3,3,3,22.745,2.85,False,new
進行 辦公 軟件,3,4,4,22.733,2.629,False,new
黄大年 黄文秀 一个个,3,3,3,22.721,3.047,False,new
一个个 娄山关 腊子口,3,3,3,22.721,2.471,False,new
教皇 若望 世,3,3,2,22.721,2.296,False,new
微调 券种 优选,3,3,3,22.715,2.091,False,new
暴徒 绞 死,3,3,3,22.656,2.663,False,new
陈述 申辩 逾期,3,4,4,22.65,3.636,False,new
安全观 合作观 文明观,3,4,4,22.628,2.342,False,new
富士 嘎 啦,3,4,4,22.628,2.72,False,new
民族主义 歇斯底里 狂欢,3,3,3,22.628,3.063,False,new
丽江 茶马 古道,3,3,2,22.628,3.53,False,new
希腊 语词根 homos,3,4,4,22.6,2.752,False,new
白色 科尼什鸡 mypetchicke,3,4,4,22.6,2.476,False,new
伊 巴密 农达,3,4,2,22.574,3.443,False,new
司法部长 帕姆 邦迪,3,5,4,22.57,3.834,False,new
万物 繁盛 一派,3,4,4,22.563,2.92,False,new
回乡 娶 妻,3,3,3,22.561,3.478,False,new
浙大 宁波 理工学院,3,3,3,22.561,2.119,False,new
东北 黑土区 侵蚀沟,3,3,3,22.543,2.722,False,new
卡尔森 Magnus Carlsen,3,3,3,22.522,2.411,False,new
Mikhail Botvinnik 后者,3,3,3,22.503,2.825,False,new
巨轮 乘风破浪 扬帆,3,6,3,22.486,2.509,False,new
亚种 subspecies 变种,3,4,4,22.483,2.698,False,new
主编 莱安德 罗·拉戈斯,3,6,6,22.474,2.626,False,new
广场 张思德 负薪,3,3,3,22.464,3.153,False,new
彰显 廖俊波 黄大年,3,3,3,22.445,2.368,False,new
澎湃号 湃客 新知,3,3,3,22.427,2.252,False,new
棋手 古克什 Dommaraju,3,3,3,22.427,2.72,False,new
彝学 会. 丽江,3,4,4,22.405,2.168,False,new
煮 串 剥蛋,3,3,3,22.405,2.008,False,new
时时 处处 崇尚,3,3,3,22.394,2.842,False,new
