term,n,freq,doc_freq,PMI,LRent,in_reference,status
新 时代 中国 特色 社会主义,5,134,47,18.297,8.571,False,new
时代 中国 特色 社会主义 思想,5,129,47,18.261,7.683,False,new
分享 让 更 多 人,5,127,127,18.241,10.992,False,new
让 更 多 人 看到,5,127,127,18.239,10.213,False,new
http w w w people,5,121,2,18.198,2.228,False,new
w w w people com,5,121,2,18.198,2.422,False,new
w w people com cn,5,121,2,18.198,2.956,False,new
com cn n c html,5,121,2,18.198,2.056,False,new
政务 微博 办 实事 排行榜,5,118,2,18.173,6.184,False,new
cn n c html 政务,5,117,2,18.165,2.083,False,new
n c html 政务 微博,5,117,2,18.165,3.021,False,new
c html 政务 微博 办,5,115,2,18.148,3.451,False,new
习近平 新 时代 中国 特色,5,114,46,18.134,7.349,False,new
同志 为 核心 的 党中央,5,90,40,17.901,5.969,False,new
澎湃 新闻 www thepaper cn,5,69,60,17.643,6.77,False,new
�� �� �� �� ��,5,67,17,17.613,4.986,False,new
总书记 国 家 主席 中央军委,5,60,17,17.505,2.459,False,new
国 家 主席 中央军委 主席,5,60,17,17.505,9.568,False,new
中共中央 总书记 国 家 主席,5,60,17,17.504,8.363,False,new
贯彻 习近平 新 时代 中国,5,50,24,17.324,8.922,False,new
家 主席 中央军委 主席 习近平,5,49,16,17.306,6.346,False,new
上海 合作 组织 命运 共同体,5,48,10,17.286,8.98,False,new
届 全国 人大 次 会议,5,46,32,17.244,8.832,False,new
全面 建设 社会主义 现代化 国,5,45,23,17.222,6.727,False,new
建设 社会主义 现代化 国 家,5,45,23,17.219,11.543,False,new
最 温情 http w w,5,44,2,17.201,6.589,False,new
新 的 赶考 之 路,5,39,11,17.08,10.17,False,new
回复 最 温情 http w,5,38,2,17.058,4.417,False,new
治理 体系 和 治理 能力,5,38,13,17.056,8.908,False,new
绿水青山 就 是 金山 银,5,37,14,17.032,3.952,False,new
就 是 金山 银 山,5,37,14,17.032,8.804,False,new
学习 贯彻 习近平 新 时代,5,37,18,17.032,9.176,False,new
体系 和 治理 能力 现代化,5,36,13,17.004,8.194,False,new
家 治理 体系 和 治理,5,34,13,16.939,8.374,False,new
供 给 侧 结构性 改革,5,33,14,16.921,8.581,False,new
日喀则 市 上海 实验 学校,5,33,3,16.921,8.896,False,new
党 和 国 家 事业,5,35,21,16.92,8.439,False,new
不 忘 初心 牢记 使命,5,31,15,16.86,10.771,False,new
中央 纪委 国 家 监委,5,29,12,16.795,7.976,False,new
科学 研究 和 技术 服务业,5,29,3,16.794,9.006,False,new
人 与 自然 和谐 共生,5,28,16,16.761,7.167,False,new
中国 特色 社会主义 思想 主题,5,28,11,16.761,10.031,False,new
特色 社会主义 思想 主题 教育,5,28,11,16.761,7.786,False,new
主持 召开 中共中央 政治局 常务,5,28,2,16.761,3.971,False,new
生命 安全 和 身体 健康,5,28,3,16.761,7.891,False,new
党风 廉政 建设 和 反,5,27,9,16.726,5.504,False,new
廉政 建设 和 反 腐败,5,27,9,16.726,3.934,False,new
构建 更加 紧密 的 上海,5,26,10,16.688,9.34,False,new
更加 紧密 的 上海 合作,5,26,10,16.683,9.593,False,new
疫情 防控 和 经济 社会,5,26,7,16.677,10.095,False,new
紧密 的 上海 合作 组织,5,26,10,16.674,8.33,False,new
贯彻 党 的 大 精神,5,26,6,16.67,7.94,False,new
新华社 北京 6月 30日 电,5,25,25,16.652,8.153,False,new
全面 推进 中华民族 伟大 复兴,5,25,14,16.652,7.9,False,new
解决 大 党 独 有,5,25,11,16.652,10.958,False,new
大 党 独 有 难题,5,25,11,16.652,8.796,False,new
党 的 大 以 来,5,93,51,16.651,10.334,False,new
防控 和 经济 社会 发展,5,26,7,16.642,7.994,False,new
来 以 习近平 同志 为,5,25,16,16.642,11.352,False,new
个 国 家 和 地区,5,33,27,16.633,9.819,False,new
推动 构建 人类 命运 共同体,5,24,20,16.613,9.38,False,new
以习 近平 同志 为 核心,5,24,21,16.613,4.56,False,new
司南脑 机智 能 超级 孵化器,5,24,3,16.613,4.289,False,new
坚持 稳中求进 工作 总 基调,5,24,12,16.613,7.615,False,new
人民 生命 安全 和 身体,5,24,3,16.613,7.818,False,new
研究 和 技术 服务业 企业,5,24,2,16.61,10.898,False,new
推进 国 家 治理 体系,5,23,10,16.566,9.584,False,new
高 质量 共建 一带 一路,5,22,12,16.53,9.205,False,new
未 有 之 大 变局,5,22,20,16.529,7.875,False,new
百年 未 有 之 大,5,22,20,16.528,8.088,False,new
大 以 来 以 习近平,5,24,17,16.517,7.431,False,new
�� �� �� �� �,5,21,17,16.485,3.592,False,new
人民 为 中心的 发展 思想,5,21,18,16.485,9.006,False,new
增强 个 意识 坚定 个,5,21,20,16.485,10.416,False,new
个 意识 坚定 个 自信,5,21,20,16.485,8.182,False,new
上海 合作 组织 成员国 元首,5,21,18,16.485,7.997,False,new
合作 组织 成员国 元首 理事会,5,21,18,16.485,7.116,False,new
本报 北京 6月 30日 电,5,21,21,16.485,6.282,False,new
北京 6月 30日 电 记者,5,21,21,16.485,9.527,False,new
国民经济 和 社会 发展 计划,5,21,5,16.484,7.647,False,new
第二 个 百年 奋斗 目标,5,20,13,16.439,9.956,False,new
意识 坚定 个 自信 做到,5,20,19,16.439,8.076,False,new
坚定 个 自信 做到 两,5,20,19,16.439,7.607,False,new
个 自信 做到 两 个,5,20,19,16.439,10.64,False,new
自信 做到 两 个 维护,5,20,19,16.439,6.671,False,new
时刻 保持 解决 大 党,5,20,9,16.439,5.999,False,new
保持 解决 大 党 独,5,20,9,16.439,5.961,False,new
独 有 难题 的 清醒,5,20,9,16.439,3.9,False,new
违反 中央 项 规定 精神,5,20,5,16.439,8.04,False,new
新闻 www thepaper cn 记者,5,20,17,16.439,8.229,False,new
具有 排除 限制 竞争 效果,5,20,4,16.439,9.244,False,new
中国 境内 盐酸罂粟 碱 注射剂,5,20,4,16.439,8.243,False,new
境内 盐酸罂粟 碱 注射剂 市场,5,20,4,16.439,7.127,False,new
是 金山 银 山 理念,5,20,5,16.439,10.425,False,new
国 家 药监局 药品 注册,5,20,2,16.439,8.374,False,new
家 药监局 药品 注册 管理司,5,20,2,16.439,4.209,False,new
难题 的 清醒 和 坚定,5,20,9,16.438,7.115,False,new
伟大 复兴 的 中国 梦,5,20,14,16.438,6.068,False,new
中华民族 伟大 复兴 的 中国,5,20,14,16.437,8.945,False,new
总书记 关于 党 的 建设,5,20,7,16.415,7.33,False,new
多 http w w w,5,19,2,16.39,5.606,False,new
中国式 现代化 全面 推进 中华民族,5,19,13,16.39,5.1,False,new
现代化 全面 推进 中华民族 伟大,5,19,13,16.39,5.458,False,new
核心 的 党中央 坚强 领导,5,19,16,16.39,7.25,False,new
推进 全面 从严 治 党,5,19,6,16.39,7.547,False,new
两 个 年 奋斗 目标,5,19,13,16.389,10.425,False,new
为 核心 的 党中央 坚强,5,19,16,16.388,8.947,False,new
坚持 和 完善 中国 特色,5,19,5,16.381,7.987,False,new
中國 大學生 保險 責任 行,5,18,10,16.339,6.297,False,new
�� �� �ձ �� ��,5,18,11,16.339,4.986,False,new
榜 http w w w,5,18,2,16.339,2.392,False,new
实现 营业 收入 元 同比,5,18,14,16.339,7.672,False,new
中 债 年 国 开债,5,18,3,16.339,6.919,False,new
债 年 国 开债 指数,5,18,3,16.339,5.436,False,new
药监局 药品 注册 管理司 司长,5,18,2,16.339,3.039,False,new
药品 注册 管理司 司长 杨霆,5,18,2,16.339,5.575,False,new
两 个 确立 的 决定性,5,18,17,16.338,7.294,False,new
个 确立 的 决定性 意义,5,18,17,16.338,8.783,False,new
广发 中 债 年 国,5,18,3,16.338,5.594,False,new
移送 检察 机关 审查 起诉,5,17,5,16.285,5.214,False,new
�� �� �� � �,5,17,17,16.285,3.592,False,new
�� �� � � �,5,17,17,16.285,3.592,False,new
�� � � � յ磨,5,17,17,16.285,2.472,False,new
� � � յ磨 ��,5,17,17,16.285,3.678,False,new
强国 建设 民族 复兴 伟业,5,17,14,16.285,6.059,False,new
粤 港 澳 大湾区 建设,5,17,12,16.285,9.259,False,new
团结 在 以习 近平 同志,5,17,17,16.285,6.719,False,new
上 页 下 页 >,5,17,4,16.285,7.316,False,new
页 下 页 > >,5,17,4,16.285,4.183,False,new
最 多 http w w,5,17,2,16.284,6.589,False,new
建设 和 反 腐败 斗争,5,17,8,16.284,8.908,False,new
构建 上海 合作 组织 命运,5,17,9,16.284,5.979,False,new
为 核心 的 党中央 周围,5,17,17,16.284,10.011,False,new
第一 个 百年 奋斗 目标,5,17,10,16.284,10.076,False,new
数据 来 源 Wind 数据,5,17,5,16.284,9.403,False,new
上海 合作 组织 国 家,5,17,7,16.244,11.63,False,new
居民 人均 可 支配 收入,5,16,8,16.227,8.509,False,new
� � յ磨 �� ��,5,16,16,16.227,3.678,False,new
登 榜 http w w,5,16,2,16.227,4.629,False,new
特色 社会主义 思想 为 指导,5,16,10,16.227,6.83,False,new
中央 项 规定 精神 问题,5,16,4,16.227,10.702,False,new
涉嫌 职务 侵占案 经 查,5,16,4,16.227,7.459,False,new
全国 人大 次 会议 闭幕,5,16,16,16.227,7.235,False,new
人大 次 会议 闭幕 后,5,16,16,16.227,7.477,False,new
中外 记者 并 回答 记者,5,16,16,16.227,8.482,False,new
记者 并 回答 记者 提出,5,16,16,16.227,7.929,False,new
下 页 > > |,5,16,4,16.227,7.559,False,new
中国 特色 社会主义 思想 为,5,16,10,16.226,12.578,False,new
回答 记者 提出 的 问题,5,16,16,16.225,8.778,False,new
学习 贯彻 党 的 大,5,16,4,16.214,9.997,False,new
