term,n,freq,doc_freq,PMI,LRent,in_reference,status
习近平 同志 为 核心,4,68,37,17.31,8.483,False,new
广发 价 值 领航,4,24,3,16.619,6.794,False,new
习近平 总书记 关于 党,4,19,7,16.18,7.448,False,new
出席 在 阿斯塔纳 举行,4,13,13,16.019,8.31,False,new
哈萨克斯坦 是 山水相连 唇齿相依,4,12,12,15.968,3.344,False,new
人民 对 美好 生活,4,21,14,15.896,9.243,False,new
严 的 基调 严,4,11,5,15.883,4.253,False,new
海报 设计 祝 碧晨,4,10,10,15.801,2.929,False,new
世界 百年 未 有,4,17,16,15.774,11.333,False,new
真理 正义 和 美国,4,10,2,15.764,8.024,False,new
助 學金 和 獎學金,4,8,4,15.601,3.412,False,new
贝页 图书 联合 发起,4,8,4,15.601,3.407,False,new
钙 把 稳 思想,4,8,8,15.6,4.389,False,new
爱国者 治 港 原,4,8,7,15.6,5.117,False,new
本人 取得 有效 联系,4,8,4,15.6,7.54,False,new
注销 其 事业 编制,4,8,4,15.6,6.274,False,new
氛围 长期 坚持 下去,4,8,5,15.599,5.972,False,new
话题 交换 了 意见,4,8,8,15.594,7.716,False,new
名 犯罪 嫌疑人 已,4,8,4,15.593,9.651,False,new
满足 人民 日益 增长,4,8,7,15.579,9.484,False,new
两 国 进行 国事访问,4,9,9,15.574,8.192,False,new
活力 密码 今天 刊发,4,7,7,15.483,4.935,False,new
纯 电动 燃料 电池,4,7,4,15.483,6.719,False,new
人民 放在 心中 最高,4,7,6,15.482,7.976,False,new
充满 光荣 和 梦想,4,7,7,15.481,7.929,False,new
知名IP 2025年 记录 中国,4,7,7,15.48,6.234,False,new
变 正 以 前所未有,4,7,7,15.455,5.736,False,new
重要 思想 关于 党,4,8,4,15.374,6.112,False,new
地 走 进 这些,4,7,7,15.369,11.113,False,new
燕南堤 公园 很快 就,4,6,6,15.349,4.651,False,new
展板 沙盘 以及 讲解员,4,6,6,15.349,2.158,False,new
用 笔 记录 所见所闻,4,6,6,15.349,5.982,False,new
长期 规划 深深 震撼,4,6,6,15.349,6.74,False,new
园幼儿 名 教职员工 名,4,6,2,15.349,5.315,False,new
粮食 净 调入 省,4,6,3,15.349,7.914,False,new
犯 故意 伤害 罪,4,6,2,15.349,4.777,False,new
赤峰市 卫生局 卫生 监督,4,6,2,15.349,7.222,False,new
承担 补充 赔偿 责任,4,6,2,15.349,8.913,False,new
四川 远达 美 乐,4,6,2,15.349,6.048,False,new
台湾 地区 行使 主权,4,6,2,15.349,6.394,False,new
大宗 交易 方式 减持,4,6,2,15.349,5.648,False,new
迪吉 比 文化 景观,4,6,2,15.349,3.475,False,new
图景 从中 展望 人类,4,6,6,15.349,6.742,False,new
余 名 政党 领导人,4,6,6,15.348,8.38,False,new
城市 公园 社区 展厅,4,6,6,15.348,6.622,False,new
白洋淀安 家 雄安 新区,4,6,6,15.348,3.45,False,new
编者按 2020年 全球 遭遇,4,6,6,15.348,3.479,False,new
照片 我 喜欢 这里,4,6,6,15.344,7.002,False,new
方面 感受 中国式 现代化,4,6,6,15.342,8.188,False,new
人民 心心相印 想 人民,4,6,3,15.342,9.397,False,new
二战 后 国际 秩序,4,6,4,15.342,6.707,False,new
展厅 里 我 看到,4,6,6,15.341,6.396,False,new
快速 鉴定 和 分类,4,6,2,15.341,8.113,False,new
地方 预算 执行 情况,4,6,3,15.339,9.056,False,new
化石 的 快速 鉴定,4,6,2,15.335,5.645,False,new
技术 完美 地 结合,4,6,6,15.334,9.932,False,new
债券 指数 领域 形成,4,6,3,15.324,8.42,False,new
办 好 人民 满意,4,6,3,15.32,5.944,False,new
过去 年 间 经历,4,6,6,15.316,7.928,False,new
雄安 新区 举行 来,4,6,6,15.287,8.891,False,new
解 了 雄安 新区,4,6,6,15.283,3.723,False,new
辆 同比 分别 增长,4,6,4,15.282,9.444,False,new
保持 同 人民 群众,4,7,7,15.263,9.603,False,new
