term,n,freq,doc_freq,PMI,LRent,in_reference,status
木质 擀 面杖,3,4,2,24.002,2.023,False,new
对齐 排尾 跟进,3,3,3,23.569,2.167,False,new
大字 熠熠生辉 1945年,3,3,3,23.443,2.254,False,new
千伏 输变 电线,3,4,4,23.399,2.109,False,new
延安 枣园 为人民服务,3,3,3,23.399,2.084,False,new
急就章 竭泽而渔 唯,3,3,3,23.399,2.084,False,new
苏 Wesley So,3,3,3,23.399,2.119,False,new
战士 卫生员 机要员,3,3,3,23.281,2.003,False,new
宗地 分宗 事宜,3,3,3,23.227,2.293,False,new
白沙县 畜牧 兽医,3,3,3,23.176,2.172,False,new
化身 溇港 卫士,3,3,3,23.127,2.81,False,new
博主 Gothamchess 复盘,3,3,3,23.08,2.425,False,new
is beautifu l,3,3,3,23.047,2.095,False,new
k环 游记 首创,3,3,3,23.036,2.09,False,new
WAIC CityWal k环,3,3,3,22.993,2.427,False,new
治性 心力衰竭 抢救,3,3,3,22.993,2.103,False,new
表兄 弟 姐妹,3,4,4,22.933,2.426,False,new
副处级 组织员 2002年,3,3,3,22.904,2.405,False,new
斗 罢 艰险,3,3,3,22.875,2.796,False,new
葡萄酒 酿造 闻名,3,3,3,22.875,2.731,False,new
体操 变脸 舞狮,3,3,3,22.857,3.25,False,new
飞碟eVTOL 起降 无人机,3,3,3,22.857,2.491,False,new
趣味 運動會 文藝,3,4,4,22.813,2.224,False,new
凌厉 decisive 冒险,3,3,3,22.813,2.991,False,new
成人 慢性 淋巴细胞,3,4,2,22.79,2.369,False,new
祈福 驱灾 菜市场,3,4,4,22.778,2.514,False,new
地步步 紧逼 直至,3,3,3,22.77,2.817,False,new
色 红枣 发糕,3,8,2,22.721,2.381,False,new
丁薛祥 许其亮 沈跃跃,3,4,4,22.721,2.948,False,new
政客 大有人在 姑且,3,3,3,22.709,2.893,False,new
土豆 大麦 棕榈油,3,4,4,22.675,2.189,False,new
學校 園內 發,3,4,4,22.645,2.342,False,new
秘书 马夏尔 冯,3,3,3,22.63,2.443,False,new
普鲁士 容克 贵族,3,3,3,22.616,2.852,False,new
哩 哔 哩,3,3,3,22.604,2.23,False,new
刻舟求剑 守株待兔 上下,3,3,3,22.56,2.649,False,new
租金 薪金 股金,3,3,3,22.547,2.768,False,new
广发科 创债 ETF,3,3,3,22.521,2.103,False,new
事事 时时 处处,3,3,3,22.487,2.875,False,new
拆旧 复垦区 划定,3,3,3,22.482,2.85,False,new
進行 辦公 軟件,3,4,4,22.47,2.466,False,new
黄大年 黄文秀 一个个,3,3,3,22.458,3.047,False,new
一个个 娄山关 腊子口,3,3,3,22.458,2.825,False,new
教皇 若望 世,3,3,2,22.458,2.358,False,new
微调 券种 优选,3,3,3,22.452,2.091,False,new
小學 城關 小學,3,4,4,22.428,2.197,False,new
暴徒 绞 死,3,3,3,22.393,3.151,False,new
陈述 申辩 逾期,3,4,4,22.387,3.728,False,new
安全观 合作观 文明观,3,4,4,22.365,2.342,False,new
富士 嘎 啦,3,4,4,22.365,3.39,False,new
民族主义 歇斯底里 狂欢,3,3,3,22.365,3.302,False,new
时而 挥手 示意,3,3,3,22.365,2.749,False,new
丽江 茶马 古道,3,3,2,22.365,3.723,False,new
希腊 语词根 homos,3,4,4,22.337,3.131,False,new
白色 科尼什鸡 mypetchicke,3,4,4,22.337,2.63,False,new
blog types o,3,4,4,22.311,2.768,False,new
伊 巴密 农达,3,4,2,22.311,3.773,False,new
o sic k,3,3,3,22.311,3.283,False,new
司法部长 帕姆 邦迪,3,5,4,22.307,3.834,False,new
万物 繁盛 一派,3,4,4,22.3,3.087,False,new
doi org s,3,4,4,22.3,2.836,False,new
明 视脑机 脑回,3,3,3,22.3,2.159,False,new
回乡 娶 妻,3,3,3,22.297,3.676,False,new
浙大 宁波 理工学院,3,3,3,22.297,2.119,False,new
东北 黑土区 侵蚀沟,3,3,3,22.279,3.308,False,new
卡尔森 Magnus Carlsen,3,3,3,22.259,2.572,False,new
张思德 负薪 前行,3,3,3,22.239,2.782,False,new
Mikhail Botvinnik 后者,3,3,3,22.239,2.984,False,new
巨轮 乘风破浪 扬帆,3,6,3,22.223,2.509,False,new
亚种 subspecies 变种,3,4,4,22.22,2.698,False,new
主编 莱安德 罗·拉戈斯,3,6,6,22.21,2.74,False,new
广场 张思德 负薪,3,3,3,22.201,3.245,False,new
下足 绣花 功夫,3,3,3,22.182,3.298,False,new
彰显 廖俊波 黄大年,3,3,3,22.182,3.485,False,new
澎湃号 湃客 新知,3,3,3,22.164,2.252,False,new
棋手 古克什 Dommaraju,3,3,3,22.164,2.72,False,new
彝学 会. 丽江,3,4,4,22.141,2.168,False,new
煮 串 剥蛋,3,3,3,22.141,2.008,False,new
时时 处处 崇尚,3,3,3,22.13,2.842,False,new
容克 贵族 统治,3,3,3,22.13,3.15,False,new
求胜欲 溢出 固然,3,3,3,22.12,2.224,False,new
人民日报社 社长 杨振武,3,5,5,22.115,2.551,False,new
智库 知华 讲堂,3,6,6,22.102,3.074,False,new
语词根 homos 表,3,4,4,22.098,3.09,False,new
帕博利 珠单 抗,3,4,2,22.098,3.501,False,new
化肥 农药 减量,3,4,4,22.097,2.835,False,new
小學 福田 小學,3,4,4,22.091,2.197,False,new
队友 结伴 陪游,3,3,3,22.085,2.23,False,new
隐瞒 服刑 入狱,3,3,3,22.071,2.18,False,new
轻快 跃 堵住,3,3,3,22.046,2.057,False,new
同源 共祖 神话,3,4,4,22.028,3.441,False,new
灾 应变局 化危机,3,3,3,22.028,2.957,False,new
长久期 坚冰 回溯,3,3,3,22.028,3.104,False,new
特 铁路桥 隧道,3,4,4,22.024,4.335,False,new
参议院 乔什 霍利,3,3,3,21.997,2.642,False,new
德清 淡水 珍珠,3,3,3,21.982,2.893,False,new
弗里德里希言辞 恳切 详细,3,3,3,21.982,2.786,False,new
贷款率 拨备 覆盖率,3,4,3,21.979,2.705,False,new
乔治 里弗斯 饰演,3,4,2,21.974,3.555,False,new
钻孔 打井 采集,3,4,2,21.959,3.78,False,new
看见 鳕鱼 Lc0,3,3,3,21.959,2.626,False,new
明尼苏达州 新乌尔姆 附近,3,3,3,21.952,2.434,False,new
志气 骨气 底气,3,3,2,21.923,3.327,False,new
立项 样机 制备,3,3,3,21.917,3.68,False,new
榆 中北 山区,3,8,2,21.888,4.106,False,new
许其亮 沈跃跃 王毅,3,4,4,21.888,3.034,False,new
入手 盯住 元旦,3,3,3,21.879,4.009,False,new
派驻 内亚姆茨省 办事处,3,6,6,21.874,3.679,False,new
铅迁 移量 检测值,3,6,2,21.874,2.414,False,new
https doi org,3,4,4,21.874,3.288,False,new
无水港 里海 沿岸,3,4,4,21.857,2.161,False,new
叫 大麦克 Gros,3,4,4,21.854,3.511,False,new
本杰明 ·哈里森 任命,3,3,3,21.854,3.517,False,new
秘書 長王一彪 陪同,3,3,3,21.833,3.18,False,new
筑 牢信 仰,3,5,5,21.827,3.583,False,new
霍尔果斯 慧鑫达 建材,3,3,3,21.815,2.356,False,new
•馬路 伢子 團隊,3,4,2,21.805,2.839,False,new
科威特 选资 劳动者,3,4,2,21.805,4.169,False,new
偏 微分 方程,3,4,2,21.805,3.873,False,new
中级 会计师 1990年,3,3,3,21.805,4.733,False,new
皮 肉 骨头,3,4,4,21.799,2.149,False,new
Dommaraju Gukesh 失去,3,3,3,21.789,3.009,False,new
师范学院 人事处 递交,3,4,4,21.777,2.207,False,new
求情 信前 刚刚,3,3,3,21.777,3.426,False,new
大學 微拍 •馬路,3,4,2,21.774,2.767,False,new
新篇章 岭南 四月,3,3,3,21.77,4.052,False,new
顾问 胡安 安德烈斯,3,6,6,21.765,2.721,False,new
秘书局 综合处 处长,3,3,3,21.751,3.611,False,new
澎湃号 湃客 ×,3,4,4,21.745,2.738,False,new
单口径 射电 望远镜,3,4,2,21.74,3.784,False,new
大道 斗 罢,3,3,3,21.74,3.283,False,new
股东 自当 季初,3,3,3,21.74,2.656,False,new
地下水 漏斗区 重金属,3,3,3,21.736,3.476,False,new
估值 PE TTM,3,3,3,21.729,2.677,False,new
校长 迪亚内利斯 加西亚,3,6,6,21.72,2.541,False,new
黑土区 侵蚀沟 南方,3,3,3,21.717,2.845,False,new
叶子 斑驳 植物,3,4,4,21.705,3.712,False,new
显现 固 收类,3,3,3,21.697,2.361,False,new
长久 期政 金债,3,3,3,21.694,3.26,False,new
尚品 商务服务 有限,3,3,3,21.683,2.747,False,new
结伴 陪游 慢慢,3,3,3,21.68,3.566,False,new
餐 饮 用具,3,4,2,21.676,3.064,False,new
课题 常修 常炼,3,3,3,21.671,3.852,False,new
一再 叮嘱 树牢,3,3,3,21.671,3.447,False,new
知华 讲堂 顾问,3,6,6,21.647,3.108,False,new
1995年 世贸组织协定 全称,3,3,3,21.643,2.918,False,new
驱逐 妖 魔,3,4,4,21.639,3.643,False,new
課程 舉辦 趣味,3,4,4,21.637,3.067,False,new
大门 无水港 里海,3,4,4,21.625,3.945,False,new
云南省 玉溪市 新平县,3,4,4,21.623,2.921,False,new
得出 赢棋 概率,3,3,3,21.623,3.959,False,new
强制 同化 余论,3,3,3,21.623,3.066,False,new
肉 蛋 奶,3,8,7,21.607,3.867,False,new
外交部 北美洲 大洋洲司,3,4,2,21.607,4.059,False,new
快棋 ches s,3,3,3,21.607,3.957,False,new
东鸡 产自 青海,3,4,4,21.591,2.34,False,new
奥密克 戎毒 株,3,3,3,21.591,4.874,False,new
This is s,3,3,3,21.586,3.529,False,new
海 东鸡 产自,3,4,4,21.576,3.555,False,new
珠宝 玉石 首饰,3,5,4,21.569,4.1,False,new
韩 芳 刘红霞,3,4,4,21.54,2.664,False,new
借助 網絡 發聲,3,4,4,21.534,3.563,False,new
decisive 冒险 进攻,3,3,3,21.532,2.038,False,new
仲裁委 裁令 忻州,3,4,4,21.527,2.033,False,new
股长 股长 1985年,3,3,3,21.527,3.315,False,new
人人 事事 时时,3,3,3,21.526,4.072,False,new
快棋 执黑 击败,3,3,3,21.517,3.673,False,new
植 手指 再造,3,4,4,21.489,2.553,False,new
邮政 检查员 特权,3,3,3,21.489,4.839,False,new
蔬果 瓜豆 物种,3,4,4,21.482,2.846,False,new
广东 汕头 开埠,3,3,3,21.471,3.936,False,new
1962年 1963年 1978年,3,3,3,21.471,3.488,False,new
财政司 司长 陈茂波,3,5,5,21.469,2.003,False,new
热带 第4型 TR4,3,4,4,21.469,3.094,False,new
杂交 科尼 什鸡,3,4,4,21.469,2.903,False,new
议员 理查德 巴托尔德,3,3,3,21.469,2.663,False,new
娄山关 腊子口 回答,3,3,3,21.462,3.404,False,new
秦川 锌品 有限,3,4,2,21.46,3.44,False,new
丝路 明珠 撒马尔罕,3,4,4,21.453,3.388,False,new
