term,n,freq,doc_freq,first_year,in_reference,status
的,1,56638,1183,2022.0,True,in_reference
在,1,14879,1127,2022.0,True,in_reference
和,1,11781,1098,2022.0,True,in_reference
是,1,11319,971,2022.0,True,in_reference
了,1,10988,987,2022.0,True,in_reference
不,1,8735,886,2022.0,True,in_reference
来,1,6883,900,2022.0,True,in_reference
家,1,6651,943,2022.0,True,in_reference
为,1,5947,1003,2022.0,True,in_reference
中国,1,5607,779,2022.0,True,in_reference
中,1,5070,864,2022.0,True,in_reference
等,1,4709,900,2022.0,True,in_reference
发展,1,4629,653,2022.0,True,in_reference
与,1,4465,835,2022.0,True,in_reference
对,1,4355,800,2022.0,True,in_reference
也,1,4350,750,2022.0,True,in_reference
有,1,4288,765,2022.0,True,in_reference
新,1,4054,701,2022.0,True,in_reference
上,1,4029,800,2022.0,True,in_reference
这,1,3997,691,2022.0,True,in_reference
大,1,3596,773,2022.0,True,in_reference
多,1,3414,844,2022.0,True,in_reference
到,1,3364,729,2022.0,True,in_reference
以,1,3207,791,2022.0,True,in_reference
国,1,3205,638,2022.0,True,in_reference
将,1,3202,770,2022.0,True,in_reference
个,1,3074,752,2022.0,True,in_reference
更,1,3069,737,2022.0,True,in_reference
要,1,2901,490,2022.0,True,in_reference
年,1,2811,681,2022.0,True,in_reference
人,1,2690,644,2022.0,True,in_reference
我们,1,2580,469,2022.0,True,in_reference
从,1,2536,691,2022.0,True,in_reference
就,1,2511,580,2022.0,True,in_reference
工作,1,2360,556,2022.0,True,in_reference
我,1,2339,329,2022.0,True,in_reference
他,1,2282,403,2022.0,True,in_reference
并,1,2196,710,2022.0,True,in_reference
都,1,2150,538,2022.0,True,in_reference
建设,1,2126,404,2022.0,True,in_reference
元,1,2115,341,2022.0,True,in_reference
经济,1,2076,397,2022.0,True,in_reference
企业,1,2040,406,2022.0,True,in_reference
最,1,2028,566,2022.0,True,in_reference
下,1,1977,657,2022.0,True,in_reference
两,1,1968,553,2022.0,True,in_reference
说,1,1968,494,2022.0,True,in_reference
市场,1,1967,346,2022.0,True,in_reference
后,1,1961,613,2022.0,True,in_reference
美国,1,1960,208,2022.0,True,in_reference
能,1,1921,507,2022.0,True,in_reference
会,1,1907,446,2022.0,True,in_reference
好,1,1906,519,2022.0,True,in_reference
合作,1,1888,351,2022.0,True,in_reference
而,1,1870,461,2022.0,True,in_reference
世界,1,1830,389,2022.0,True,in_reference
一个,1,1775,484,2022.0,True,in_reference
