term,n,freq,doc_freq,PMI,LRent,in_reference,status
trên sân khấu,3,21,13,11.049,9.966,False,new
để giới thiệu,3,5,5,8.413,10.213,False,new
một sự kết,3,3,3,4.543,8.069,False,new
sự kết hợp,3,29,21,7.978,8.916,False,new
máy nghe nhạc,3,3,3,10.479,8.995,False,new
"kỹ thuật số,",3,5,5,12.783,8.074,False,new
sử dụng trong,3,22,19,7.208,9.403,False,new
trong một số,3,5,5,3.819,11.831,False,new
ngạc nhiên khi,3,7,7,10.841,8.643,False,new
một công ty,3,42,30,7.159,9.717,False,new
lãm điện tử,3,3,3,10.792,5.624,False,new
điện tử tiêu,3,4,4,9.132,8.529,False,new
tử tiêu dùng,3,5,4,9.155,7.459,False,new
CES năm nay,3,8,5,9.404,7.017,False,new
sự xuất hiện,3,36,27,7.877,9.461,False,new
xuất hiện của,3,29,25,6.399,9.917,False,new
của hãng xe,3,6,6,6.856,11.561,False,new
lớn cho thấy,3,3,3,6.081,10.214,False,new
của thị trường,3,31,23,6.915,11.668,False,new
điện tử và,3,8,7,7.469,11.431,False,new
Công ty Tư,3,5,3,11.668,7.67,False,new
ty Tư vấn,3,5,3,11.655,2.633,False,new
định công nghệ,3,3,3,5.639,8.343,False,new
công nghệ là,3,5,5,4.153,11.019,False,new
mối quan tâm,3,11,5,10.637,8.28,False,new
hàng đầu của,3,7,7,4.289,10.483,False,new
xe hơi tại,3,4,4,8.973,9.743,False,new
người quan tâm,3,4,3,6.414,9.331,False,new
quan tâm nhất,3,7,7,7.665,8.719,False,new
thu hút người,3,7,7,8.421,9.119,False,new
người dùng hơn.,3,4,4,7.31,9.563,False,new
nghĩ đến việc,3,6,6,7.832,9.117,False,new
đến việc mình,3,3,3,5.869,10.14,False,new
mình là một,3,4,4,3.947,9.346,False,new
là một công,3,14,13,3.743,9.185,False,new
Chúng tôi muốn,3,6,6,10.334,9.633,False,new
như là một,3,7,7,3.551,10.987,False,new
là một phần,3,27,25,5.607,10.564,False,new
một phần của,3,12,10,4.608,11.027,False,new
của cộng đồng,3,22,17,7.77,11.216,False,new
Giám đốc Điều,3,9,7,13.06,5.663,False,new
đốc Điều hành,3,9,7,11.091,5.251,False,new
Điều hành của,3,5,5,6.754,10.986,False,new
cho biết. Năm,3,5,4,10.325,10.146,False,new
có bài phát,3,4,4,6.232,8.346,False,new
bài phát biểu,3,8,8,10.344,7.385,False,new
buổi bình minh,3,3,3,10.956,7.653,False,new
nói lên một,3,4,4,6.44,10.312,False,new
một mô hình,3,7,7,7.206,9.803,False,new
du khách đến,3,4,4,8.262,9.655,False,new
đã thu hút,3,20,17,9.296,9.891,False,new
thu hút nhiều,3,7,7,8.897,9.411,False,new
nhiều công ty,3,11,11,6.603,9.539,False,new
quan tâm đến,3,25,21,8.481,9.937,False,new
tâm đến việc,3,5,5,6.628,8.857,False,new
sản xuất ô,3,25,8,9.939,5.864,False,new
xuất ô tô,3,21,7,12.09,7.997,False,new
ô tô và,3,4,4,8.603,10.524,False,new
và phần mềm,3,4,4,7.517,11.016,False,new
phần mềm của,3,4,4,7.463,10.424,False,new
của một doanh,3,9,9,4.072,9.564,False,new
một doanh nghiệp,3,21,15,7.059,9.9,False,new
ước tính của,3,3,3,7.37,10.195,False,new
của Hiệp hội,3,5,5,8.081,11.688,False,new
"Trong năm qua,",3,13,10,9.058,10.545,False,new
không gian triển,3,4,3,6.322,10.212,False,new
gian triển lãm,3,4,3,9.742,5.353,False,new
dành riêng cho,3,22,20,10.054,10.347,False,new
cho thiết bị,3,6,6,5.932,12.065,False,new
đã tăng gần,3,3,3,6.436,10.122,False,new
tăng gần gấp,3,4,4,10.446,7.225,False,new
kết nối với,3,34,32,8.868,10.635,False,new
nối với các,3,8,8,5.985,6.657,False,new
với các ứng,3,4,4,4.432,9.101,False,new
các ứng dụng,3,37,26,7.897,10.658,False,new
có thể mở,3,9,8,6.078,8.943,False,new
và khởi động,3,3,3,5.879,12.38,False,new
khởi động bằng,3,5,5,8.821,9.268,False,new
mẫu xe có,3,5,5,6.741,8.527,False,new
bảng điều khiển,3,7,4,12.321,6.616,False,new
điều khiển bằng,3,7,7,10.874,9.588,False,new
tương lai của,3,34,28,9.459,10.855,False,new
chiếc xe này,3,4,4,7.147,8.575,False,new
bước ra khỏi,3,5,5,9.648,8.481,False,new
sẽ tự động,3,5,4,6.098,11.009,False,new
quay trở lại,3,18,18,10.048,9.46,False,new
là cái tên,3,15,15,8.046,10.533,False,new
cái tên được,3,6,6,7.518,9.995,False,new
tên được nhắc,3,3,3,8.069,6.49,False,new
nhất tại CES,3,3,3,8.037,7.866,False,new
lĩnh vực xe,3,5,4,9.394,8.033,False,new
vào các mẫu,3,3,3,5.496,9.605,False,new
các mẫu xe,3,21,12,8.27,10.205,False,new
bán ra trong,3,4,4,5.243,9.574,False,new
thương hiệu xe,3,10,4,8.912,9.688,False,new
bày tỏ sự,3,13,12,11.777,7.892,False,new
sự quan tâm,3,35,34,8.801,9.225,False,new
quan tâm đặc,3,5,5,8.552,6.017,False,new
tâm đặc biệt,3,3,3,8.813,7.102,False,new
mới này của,3,3,2,3.778,11.596,False,new
được giới thiệu,3,20,16,9.036,9.694,False,new
hồi tháng vừa,3,3,3,9.357,8.14,False,new
tháng vừa qua.,3,5,5,10.482,8.242,False,new
Apple cũng đã,3,3,3,6.042,9.783,False,new
đã ký kết,3,6,4,7.836,9.413,False,new
hãng sản xuất,3,17,16,9.114,7.322,False,new
sản xuất xe,3,14,9,8.03,9.563,False,new
việc triển khai,3,8,8,8.847,7.985,False,new
thậm chí là,3,30,27,9.948,10.061,False,new
"Trong khi đó,",3,74,61,9.684,11.423,False,new
sẽ tiếp tục,3,71,59,9.455,10.772,False,new
tiếp tục ra,3,4,4,7.004,9.552,False,new
tục ra mắt,3,4,4,7.847,5.655,False,new
ra mắt một,3,10,8,6.525,9.809,False,new
một phiên bản,3,13,12,8.44,9.458,False,new
phiên bản Android,3,5,3,11.645,7.543,False,new
điều hành mới,3,5,5,7.115,9.354,False,new
của Google sẽ,3,4,4,5.723,11.302,False,new
sẽ được tích,3,6,6,5.417,9.395,False,new
được tích hợp,3,30,23,7.898,10.084,False,new
trực tiếp vào,3,6,6,8.037,9.812,False,new
và hoạt động,3,16,12,6.451,12.38,False,new
hoàn toàn độc,3,4,4,9.449,8.061,False,new
toàn độc lập,3,4,4,9.825,8.327,False,new
độc lập với,3,5,5,8.249,10.325,False,new
các tiện ích,3,4,4,9.764,8.716,False,new
mà không cần,3,27,23,7.694,10.743,False,new
không cần tới,3,7,6,6.715,11.29,False,new
lên một số,3,3,3,5.08,11.004,False,new
mẫu xe hơi,3,3,3,10.331,8.08,False,new
cao cấp của,3,16,14,6.718,11.082,False,new
của các đối,3,3,3,3.5,9.46,False,new
các đối tác,3,35,22,8.143,9.192,False,new
vẫn còn là,3,4,4,5.079,11.229,False,new
còn là một,3,21,19,4.945,10.553,False,new
là một giải,3,9,9,4.327,9.693,False,new
một giải pháp,3,10,8,7.379,9.587,False,new
người dùng phải,3,3,3,5.588,10.155,False,new
phải kết nối,3,3,3,7.991,8.778,False,new
có màn hình,3,14,11,6.818,10.661,False,new
Mục tiêu của,3,9,8,9.385,9.445,False,new
ra mắt trong,3,10,9,6.387,9.271,False,new
mắt trong năm,3,7,6,5.644,7.113,False,new
trong năm 2015.,3,8,8,7.741,10.015,False,new
cứu thị trường,3,6,6,8.716,7.234,False,new
có kết nối,3,4,4,6.693,10.025,False,new
trên thế giới,3,77,60,9.005,10.534,False,new
thế giới sẽ,3,7,5,6.343,9.231,False,new
sẽ tăng từ,3,4,4,5.185,11.476,False,new
trong năm tới.,3,13,12,7.783,10.167,False,new
hiện đã có,3,4,4,3.598,8.495,False,new
đã có những,3,33,30,4.502,11.68,False,new
có những bước,3,12,11,6.078,8.994,False,new
vi xử lý,3,65,28,12.783,8.535,False,new
xe ô tô,3,14,11,12.034,8.65,False,new
gian hàng của,3,10,8,5.643,7.704,False,new
của chúng tôi,3,21,17,6.737,11.084,False,new
máy tính và,3,6,6,6.001,11.355,False,new
và trò chơi,3,3,3,7.149,11.814,False,new
"nay, chúng tôi",3,5,5,8.941,6.667,False,new
chúng tôi đã,3,27,17,7.745,10.326,False,new
sự chú ý,3,42,35,10.152,8.422,False,new
những sản phẩm,3,86,58,7.994,9.948,False,new
sản phẩm dành,3,3,3,7.533,6.103,False,new
phẩm dành cho,3,3,3,6.631,6.433,False,new
cấp cao của,3,3,3,5.271,9.213,False,new
>> Những sản,3,3,3,11.543,4.623,False,new
Những sản phẩm,3,13,10,8.697,10.422,False,new
sản phẩm công,3,37,27,7.432,8.053,False,new
phẩm công nghệ,3,44,26,7.901,6.285,False,new
dẫn đầu thị,3,6,4,7.913,6.025,False,new
đầu thị trường,3,4,3,6.405,9.914,False,new
thị trường được,3,5,4,5.771,10.376,False,new
được quan tâm,3,12,11,7.043,10.393,False,new
quan tâm nhiều,3,5,4,7.073,9.895,False,new
nhiều nhất trong,3,17,14,5.571,9.597,False,new
trong định hướng,3,3,2,6.136,10.511,False,new
chiến lược kinh,3,7,5,10.748,6.926,False,new
lược kinh doanh,3,6,5,9.727,3.736,False,new
kinh doanh năm,3,10,5,6.657,9.872,False,new
tham gia khảo,3,5,2,9.323,8.559,False,new
gia khảo sát,3,4,2,10.308,7.403,False,new
tăng so với,3,97,34,9.075,10.613,False,new
so với năm,3,70,39,7.487,9.319,False,new
của Mỹ đã,3,6,4,5.427,11.88,False,new
Mỹ đã tăng,3,3,2,6.965,7.987,False,new
tăng trung bình,3,3,2,8.457,8.674,False,new
trung bình so,3,3,2,9.0,4.037,False,new
bình so với,3,3,2,6.77,10.119,False,new
so với trước,3,10,8,7.092,8.38,False,new
trong khi nhiều,3,4,4,3.892,11.738,False,new
khi nhiều người,3,5,5,4.456,10.448,False,new
nhiều người cho,3,8,8,4.36,9.954,False,new
người cho rằng,3,14,14,6.236,9.73,False,new
kinh doanh tại,3,8,7,7.085,9.939,False,new
tại các quốc,3,4,3,5.305,8.259,False,new
các quốc gia,3,42,31,7.788,10.263,False,new
quốc gia thuộc,3,3,2,8.153,8.766,False,new
Ấn Độ và,3,8,5,12.239,9.68,False,new
Độ và Trung,3,3,2,9.145,4.002,False,new
nhiều thách thức.,3,4,3,11.982,7.594,False,new
trên khắp thế,3,17,12,9.283,9.207,False,new
khắp thế giới,3,19,14,10.165,7.206,False,new
thế giới của,3,7,7,5.303,10.634,False,new
công bố vào,3,20,10,7.637,10.221,False,new
vào đầu năm,3,10,10,5.13,10.884,False,new
Trung Quốc và,3,12,12,7.582,11.138,False,new
là thị trường,3,8,6,5.878,10.802,False,new
con số này,3,17,17,7.411,9.303,False,new
năm ngoái là,3,5,5,7.573,10.544,False,new
đã chỉ ra,3,7,6,5.075,11.187,False,new
chỉ ra rằng,3,10,8,7.325,10.077,False,new
nhiều công việc,3,4,4,4.848,10.393,False,new
đã được tạo,3,3,3,3.895,10.252,False,new
được tạo ra,3,17,16,5.889,10.765,False,new
ra trong thời,3,3,3,4.198,7.368,False,new
trong thời kỳ,3,9,4,6.496,10.379,False,new
hơn so với,3,76,62,8.542,10.936,False,new
Nền kinh tế,3,3,3,11.193,8.018,False,new
kinh tế Mỹ,3,6,6,9.401,9.059,False,new
cũng đang được,3,5,5,4.828,11.974,False,new
được hưởng lợi,3,7,7,8.11,8.374,False,new
người tiêu dùng,3,104,47,9.355,9.865,False,new
chi tiêu nhiều,3,5,5,7.66,10.267,False,new
nhà đầu tư.,3,17,14,10.709,7.664,False,new
So với các,3,3,3,7.44,8.482,False,new
với các quốc,3,3,3,4.136,8.104,False,new
hiện đang được,3,3,3,4.892,9.704,False,new
đánh giá cao,3,55,45,10.065,8.657,False,new
giá cao nhất,3,7,7,6.897,8.251,False,new
của thị trường.,3,4,4,7.345,10.852,False,new
người tham gia,3,29,22,7.778,9.801,False,new
nền kinh tế,3,65,36,11.237,9.259,False,new
đang phải đối,3,5,5,7.235,8.247,False,new
phải đối diện,3,6,5,8.202,8.886,False,new
đối diện với,3,19,14,7.96,10.529,False,new
với những đợt,3,3,3,6.613,9.253,False,new
đợt tái cấu,3,3,3,13.292,5.246,False,new
tái cấu trúc,3,15,5,13.817,8.021,False,new
tác động đến,3,10,9,6.928,9.068,False,new
cho biết họ,3,17,11,8.079,10.852,False,new
vẫn tiếp tục,3,24,21,9.585,10.374,False,new
các thị trường,3,18,17,6.908,10.312,False,new
thị trường này.,3,4,4,8.07,9.643,False,new
cho biết các,3,5,5,5.023,11.712,False,new
các quy định,3,13,12,7.62,10.395,False,new
khủng hoảng tài,3,7,5,13.577,6.886,False,new
hoảng tài chính,3,7,5,10.89,4.519,False,new
