term,n,freq,doc_freq,PMI,LRent,in_reference,status
"""sống ảo""",2,6,4,11.156,3.584,False,new
Kuala Lumpur,2,7,4,11.023,2.008,False,new
đặc biệt,2,5,4,11.023,3.159,False,new
tổ chức,2,5,3,11.023,2.421,False,new
lùm xùm,2,7,7,10.905,3.019,False,new
Wall Street,2,6,5,10.889,2.544,False,new
“ông lớn”,2,5,5,10.869,2.718,False,new
Lionel Messi,2,5,3,10.869,2.879,False,new
Răng Hàm,2,5,3,10.8,2.52,False,new
Abou Chacra,2,9,3,10.704,2.522,False,new
Ả Rập,2,6,3,10.704,3.215,False,new
báo cáo,2,6,4,10.704,3.395,False,new
"chỉn chu,",2,5,5,10.704,3.912,False,new
Larry Page,2,7,3,10.682,2.736,False,new
tiếp tục,2,7,4,10.682,3.969,False,new
"""đốt tiền""",2,5,4,10.617,3.381,False,new
Star Wars,2,5,3,10.617,3.282,False,new
Thổ Nhĩ,2,8,6,10.599,3.308,False,new
Thung lũng,2,6,5,10.537,2.919,False,new
Los Angeles.,2,5,4,10.537,3.748,False,new
Taylor Swift,2,7,3,10.481,3.483,False,new
Business Insider,2,5,4,10.463,3.097,False,new
phát triển,2,9,6,10.442,4.259,False,new
Balade En,2,8,4,10.417,2.268,False,new
lũng Silicon,2,6,4,10.404,2.441,False,new
Địch Lệ,2,6,3,10.404,2.384,False,new
Valerie Abou,2,9,3,10.368,2.677,False,new
mô-men xoắn,2,13,4,10.33,2.356,False,new
APDI Architecture,2,11,4,10.314,4.459,False,new
trình làng,2,5,3,10.309,4.037,False,new
Jeff Bezos,2,8,7,10.25,4.136,False,new
quyết định,2,8,5,10.224,4.813,False,new
Jeffrey C.,2,7,3,10.219,2.705,False,new
Las Vegas,2,15,9,10.158,3.55,False,new
thị trường,2,13,7,10.143,4.754,False,new
Jennifer Aniston,2,5,3,10.115,4.391,False,new
Isabella Menin,2,13,3,10.107,4.831,False,new
Viết Thanh),2,11,3,10.107,3.781,False,new
Tim Cook,2,8,3,10.107,4.542,False,new
rạng ngời,2,5,4,10.107,3.784,False,new
Grey D,2,6,4,10.085,3.996,False,new
"nhàm chán,",2,7,7,10.076,4.744,False,new
Mực Hầm,2,19,5,10.058,2.454,False,new
