term,n,freq,doc_freq,PMI,LRent,in_reference,status
tuyệt thế. Câu chuyện tình,5,2,2,46.633,2.023,False,new
"(ca sĩ): 19,418,385 Barbie (film):",5,2,2,46.605,2.023,False,new
"DeepMind, deep learning, machine learning",5,2,2,45.912,2.079,False,new
"FPT, Canifa, MK Smart, Techcombank,",5,2,2,45.847,2.246,False,new
Chongqing Hot Pot (Lẩu Trùng,5,2,2,45.786,2.023,False,new
"(cầu thủ): 17,492,537 Lionel Messi",5,2,2,45.652,2.243,False,new
Quá dễ! 10/10 nhé!! Đáp,5,2,2,45.306,4.249,False,new
"Barbie (film): 18,051,077 Cristiano Ronaldo",5,2,2,45.219,2.243,False,new
"Tối 19/1 (giờ Mỹ),SAG Awards(Giải",5,2,2,45.186,3.063,False,new
Santa Claus Is Coming To,5,2,2,45.17,3.181,False,new
Phong Tức tuấn nhã tuyệt,5,2,2,44.968,3.685,False,new
"vẽ ngây ngô, nguệch ngoạc,",5,2,2,44.965,2.797,False,new
"Dương-Imexpan Pacific (IPP). Thuở ấy,",5,2,2,44.952,3.365,False,new
"cũng hiểu được lòng mình,",5,2,2,44.847,3.801,False,new
“A sunday afternoon on the,5,2,2,44.791,3.271,False,new
khác’ Vườn ươm Topica Founder,5,2,2,44.772,2.045,False,new
"(cầu thủ): 16,623,630 Premier League",5,2,2,44.654,2.649,False,new
Thiên Hạkể về câu chuyện,5,2,2,44.624,4.11,False,new
"Amersham Industries Limited, KB Vietnam",5,2,2,44.619,3.26,False,new
8. Mary's Boy Child Oh,5,2,2,44.505,4.91,False,new
10. Santa Claus Is Coming,5,2,2,44.505,2.923,False,new
Dương/ Yang Yang 杨洋 Vietnam,5,2,2,44.501,3.26,False,new
"trận đại chiến, Hắc Phong",5,2,2,44.498,2.907,False,new
"Tôn Ni (Kim Cương). ""Thẩm",5,2,2,44.487,2.339,False,new
Hạkể về câu chuyện của,5,2,2,44.485,3.84,False,new
Mary's Boy Child Oh My,5,2,2,44.477,3.17,False,new
"tê giác"", ""Cứu tê tê""",5,2,2,44.428,2.035,False,new
"2023): 38,171,653 Indian Premier League",5,2,2,44.317,3.055,False,new
ngựa khác’ Vườn ươm Topica,5,2,2,44.302,2.077,False,new
thải) -Algae(tảo) -Air(không khí) Khi,5,2,2,44.239,4.556,False,new
sở Seoul ở đất nước,5,2,2,44.158,2.659,False,new
"Độ 2023): 20,694,974 Pathaan (film):",5,2,2,44.128,2.444,False,new
"Industries Limited, KB Vietnam Focus",5,2,2,44.108,2.119,False,new
"(film): 21,791,126 Indian Premier League",5,2,2,44.066,3.342,False,new
"đại chiến, Hắc Phong Tức",5,2,2,43.987,2.441,False,new
Thư Nhã Vọng (Lô Am),5,2,2,43.939,2.25,False,new
"Cricket Ấn Độ): 32,012,810 Oppenheimer",5,2,2,43.917,2.138,False,new
"Ấn Độ): 32,012,810 Oppenheimer (film):",5,2,2,43.917,4.269,False,new
cưỡi ngựa khác’ Vườn ươm,5,2,2,43.832,2.128,False,new
Bình Dương-Imexpan Pacific (IPP). Thuở,5,2,2,43.733,4.544,False,new
khí độc) -Environment(môi trường) -Relationship(mối,5,2,2,43.695,3.003,False,new
"key words ""Coffee House""... Với",5,2,2,43.668,4.581,False,new
Bodyguard (Lão Vệ Sĩ/Ông Nội,5,2,2,43.66,3.876,False,new
6. MBA Partner MBA Partnercó,5,2,2,43.658,3.498,False,new
Yang Yang 杨洋 Vietnam fanpage,5,2,2,43.654,2.616,False,new
Câu chuyện tình yêu của,5,2,2,43.637,3.84,False,new
giốngĐịch Lệ Nhiệt BatrongTrường Ca,5,2,2,43.627,2.026,False,new
"lộn xộn. —Sarah Jacobs, biên",5,2,2,43.624,4.069,False,new
"Đen Vâu, Double2T, Grey D",5,2,2,43.621,3.25,False,new
hoa tuyệt thế. Câu chuyện,5,2,2,43.616,4.28,False,new
"xôi xoài, xôi sầu riêng...",5,3,3,43.532,2.301,False,new
cùng cũng hiểu được lòng,5,2,2,43.525,3.406,False,new
Want For Christmas Is You,5,2,2,43.524,2.138,False,new
For Christmas Is You Mariah,5,2,2,43.524,2.098,False,new
1. Chongqing Hot Pot (Lẩu,5,2,2,43.498,3.93,False,new
"Kiểu tóc ""râu dế"" gợi",5,2,2,43.497,2.978,False,new
chínhDương Dương-Triệu Lộ Tư. Cả,5,2,2,43.409,2.472,False,new
"(tỷ phú) 14,370,395 Avatar: The",5,2,2,43.366,3.438,False,new
Hắc Phong Tức cuối cùng,5,2,2,43.359,3.097,False,new
2. Jingle Bells Boney M,5,2,2,43.333,6.265,False,new
hai người nở rộ từ,5,2,2,43.302,4.347,False,new
Dương Dương/ Yang Yang 杨洋,5,2,2,43.302,3.272,False,new
You Mariah Carey 2. Jingle,5,2,2,43.259,2.832,False,new
Christmas 7. Jingle Bell Rock,5,2,2,43.242,2.218,False,new
"nắp ly, muỗng nhựa... Thông",5,2,2,43.234,3.639,False,new
"sừng tê giác"", ""Cứu tê",5,2,2,43.224,3.964,False,new
Jingle Bells Boney M 3.,5,2,2,43.217,4.893,False,new
The Bodyguard (Lão Vệ Sĩ/Ông,5,2,2,43.212,4.58,False,new
"Hà, Đen Vâu, Double2T, Grey",5,2,2,43.185,3.221,False,new
