term,n,freq,doc_freq,PMI,LRent,in_reference,status
“Goldman Sachs Non-Profitable Technology,4,2,2,34.867,2.146,False,new
United States (nước Mỹ):,4,2,2,34.867,2.387,False,new
"deep learning, machine learning",4,2,2,34.761,2.095,False,new
"Mỹ): 25,672,469 Jawan (film):",4,2,2,34.461,2.441,False,new
"2023): 20,694,974 Pathaan (film):",4,2,2,34.307,2.485,False,new
Jingle Bells Boney M,4,2,2,34.276,2.947,False,new
Quá dễ! 10/10 nhé!!,4,2,2,34.261,2.822,False,new
email hanhvithi@admicro.vn (Ms. Vi,4,3,3,34.137,2.718,False,new
"1, MACQUANE BANK LIMITED",4,2,2,33.825,2.43,False,new
8. Mary's Boy Child,4,2,2,33.796,3.07,False,new
Claus Is Coming To,4,2,2,33.768,2.17,False,new
Trùng Khánh) Chongqing Hot,4,2,2,33.76,2.428,False,new
Khúc Uất Nhiên (Joo,4,2,2,33.711,2.89,False,new
"FPT, Canifa, MK Smart,",4,2,2,33.598,2.246,False,new
"(film): 18,051,077 Cristiano Ronaldo",4,2,2,33.48,2.936,False,new
Lionel Messi (cầu thủ):,4,2,2,33.403,2.023,False,new
trụ sở Seoul ở,4,2,2,33.375,3.113,False,new
Phong Tức tuấn nhã,4,2,2,33.23,2.991,False,new
để cứu Bạch Phong,4,2,2,33.23,2.907,False,new
"động"", Caroline Merner, tuổi,",4,2,2,33.172,4.04,False,new
"theo. —Michelle Martinez Lee,",4,2,2,33.152,2.022,False,new
phim. Nhìn ngầu quá,4,2,2,33.119,3.389,False,new
"từ tờ PhoneArena, cái",4,2,2,33.081,3.833,False,new
"website. —Aine Cain, phóng",4,2,2,33.075,2.938,False,new
"giấc. —Gus Lubin, phóng",4,2,2,33.075,2.938,False,new
"đẳng hơn"", Alfredo Jornet,",4,2,2,33.034,2.828,False,new
"dầm sương, dãi nắng",4,2,2,32.942,2.976,False,new
"Tối 19/1 (giờ Mỹ),SAG",4,2,2,32.937,3.063,False,new
bố. Ở thời điểm,4,2,2,32.931,2.134,False,new
Lưu Nhuế Lân... Thả,4,2,2,32.921,2.782,False,new
Thiên Hạkể về câu,4,2,2,32.886,3.417,False,new
cũng hiểu được lòng,4,2,2,32.886,4.898,False,new
"xộn. —Sarah Jacobs, biên",4,2,2,32.841,2.437,False,new
"sohu, Apollo, Soundofhope) Ngọc",4,2,2,32.83,3.579,False,new
"(2018), đánh dấu sự",4,2,2,32.815,2.631,False,new
"Ấn Độ): 32,012,810 Oppenheimer",4,2,2,32.767,3.981,False,new
"cao: Sữa, sôcôla, bánh",4,2,2,32.767,4.471,False,new
rục rịch chuẩn bị,4,2,2,32.767,3.282,False,new
"ươm Topica Founder Institute,",4,2,2,32.746,2.131,False,new
"vài ngày trước, nguồn",4,2,2,32.735,2.104,False,new
"vẽ ngây ngô, nguệch",4,2,2,32.716,2.797,False,new
"túi nilon, ""đánh tráo""",4,2,2,32.707,3.589,False,new
"Pacific (IPP). Thuở ấy,",4,2,2,32.703,4.002,False,new
cưỡi ngựa khác’ Vườn,4,2,2,32.682,2.193,False,new
"Đen Vâu, Double2T, Grey",4,2,2,32.671,2.751,False,new
"Video Communications, Delivery Hero",4,2,2,32.607,2.449,False,new
