term,frequency,first_year,in_reference,status
của,8168,2015.0,True,in_reference
và,7739,2015.0,True,in_reference
là,6481,2015.0,True,in_reference
có,6140,2015.0,True,in_reference
trong,5079,2015.0,True,in_reference
với,4883,2015.0,True,in_reference
các,4881,2015.0,True,in_reference
được,4808,2015.0,True,in_reference
một,4425,2015.0,True,in_reference
những,4104,2015.0,True,in_reference
cho,3906,2015.0,True,in_reference
đã,3795,2015.0,True,in_reference
không,3787,2015.0,True,in_reference
năm,3553,2015.0,True,in_reference
người,3468,2015.0,True,in_reference
công,3142,2015.0,True,in_reference
sẽ,2886,2015.0,True,in_reference
thể,2588,2015.0,True,in_reference
để,2560,2015.0,True,in_reference
từ,2455,2015.0,True,in_reference
cũng,2381,2015.0,True,in_reference
khi,2365,2015.0,True,in_reference
ra,2324,2015.0,True,in_reference
sự,2295,2015.0,True,in_reference
đến,2282,2015.0,True,in_reference
vào,2186,2015.0,True,in_reference
nhiều,2153,2015.0,True,in_reference
này,2132,2015.0,True,in_reference
đầu,2124,2015.0,True,in_reference
như,2031,2015.0,True,in_reference
về,2003,2015.0,True,in_reference
trên,1964,2015.0,True,in_reference
tại,1895,2015.0,True,in_reference
động,1691,2015.0,True,in_reference
thành,1686,2015.0,True,in_reference
ở,1684,2015.0,True,in_reference
Việt,1648,2015.0,True,in_reference
hàng,1604,2015.0,True,in_reference
nhất,1588,2015.0,True,in_reference
sản,1584,2015.0,True,in_reference
lại,1567,2015.0,True,in_reference
chính,1497,2015.0,True,in_reference
hiện,1489,2015.0,True,in_reference
số,1486,2015.0,True,in_reference
việc,1470,2015.0,True,in_reference
làm,1453,2015.0,True,in_reference
chỉ,1437,2015.0,True,in_reference
còn,1384,2015.0,True,in_reference
nhà,1371,2015.0,True,in_reference
thế,1367,2015.0,True,in_reference
gia,1361,2015.0,True,in_reference
học,1344,2015.0,True,in_reference
ngày,1342,2015.0,True,in_reference
giá,1341,2015.0,True,in_reference
hơn,1341,2015.0,True,in_reference
phải,1341,2015.0,True,in_reference
hình,1340,2015.0,True,in_reference
